y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60
39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,36,15,35,15,34,15,33,15,33,14,33,13,32,13,32,12,31,12,31,11,30,11,30,10,29,10,28,10,27,10,27,9,26,9,26,8,26,7,26,6,25,6,25,5,25,4,25,3,24,3,23,3,23,2,22,2,21,2,20,2,19,2,18,2,17,2,16,2,15,2,14,2,13,2,13,1,12,1,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,16,39,16,39,16,39,16,39,16,39,16,38,16,38,15,37,15,36,15,35,15,34,15,33,15,32,15,31,15,30,15,30,14,29,14,29,13,28,13,27,13,26,13,26,12,25,12,25,11,25,10,25,9,24,9,23,9,22,9,22,8,22,7,21,7,21,6,21,5,20,5,19,5,19,4,19,3,19,2,18,2,17,2,16,2,15,2,14,2,13,2,12,2,11,2,10,2,9,2,8,2,8,1,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,35,15,35,14,34,14,34,13,33,13,32,13,31,13,30,13,29,13,29,12,28,12,28,11,28,10,28,9,27,9,26,9,25,9,25,8,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,23,1,22,1,21,1,20,1,19,1,18,1,17,1,16,1,15,1,14,1,13,1,12,1,11,1,10,1,9,1,8,1,7,1,6,1,5,1,5,0,4,0,3,0,2,0,1,0,0,0
39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,32,16,32,15,31,15,30,15,29,15,28,15,27,15,26,15,25,15,24,15,24,14,23,14,22,14,22,13,21,13,20,13,20,12,19,12,18,12,18,11,18,10,17,10,16,10,16,9,16,8,16,7,15,7,15,6,15,5,14,5,13,5,12,5,11,5,11,4,10,4,10,3,9,3,8,3,8,2,7,2,6,2,6,1,5,1,4,1,3,1,2,1,2,0,1,0,0,0
39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,32,16,31,16,30,16,29,16,28,16,27,16,26,16,26,15,25,15,25,14,24,14,23,14,23,13,22,13,21,13,21,12,20,12,19,12,18,12,18,11,17,11,17,10,16,10,15,10,14,10,14,9,14,8,13,8,13,7,13,6,12,6,12,5,11,5,11,4,11,3,10,3,10,2,9,2,8,2,8,1,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,33,15,32,15,32,14,31,14,31,13,30,13,30,12,29,12,29,11,29,10,29,9,29,8,29,7,29,6,29,5,29,4,28,4,27,4,27,3,26,3,25,3,24,3,23,3,23,2,23,1,22,1,21,1,20,1,19,1,18,1,17,1,16,1,15,1,14,1,13,1,12,1,11,1,10,1,9,1,8,1,7,1,6,1,5,1,4,1,4,0,3,0,2,0,1,0,0,0
39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,32,16,31,16,31,15,30,15,29,15,28,15,27,15,26,15,25,15,25,14,24,14,23,14,22,14,21,14,20,14,19,14,18,14,17,14,17,13,17,12,16,12,15,12,15,11,15,10,15,9,15,8,14,8,13,8,13,7,12,7,11,7,11,6,11,5,11,4,11,3,11,2,11,1,10,1,9,1,8,1,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,34,15,33,15,33,14,32,14,31,14,31,13,30,13,29,13,29,12,29,11,29,10,28,10,28,9,28,8,27,8,26,8,25,8,24,8,24,7,23,7,22,7,21,7,21,6,20,6,20,5,19,5,18,5,17,5,17,4,16,4,15,4,14,4,13,4,12,4,12,3,12,2,11,2,10,2,9,2,8,2,7,2,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,32,16,31,16,31,15,30,15,29,15,28,15,27,15,26,15,25,15,24,15,23,15,23,14,22,14,21,14,20,14,19,14,18,14,18,13,17,13,16,13,15,13,14,13,14,12,13,12,13,11,12,11,11,11,11,10,11,9,11,8,10,8,9,8,9,7,8,7,7,7,7,6,6,6,5,6,5,5,5,4,4,4,4,3,3,3,3,2,3,1,2,1,1,1,1,0,0,0
39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,32,16,31,16,30,16,30,15,29,15,29,14,28,14,27,14,26,14,25,14,24,14,23,14,22,14,22,13,22,12,22,11,22,10,21,10,20,10,20,9,19,9,19,8,18,8,17,8,16,8,16,7,16,6,16,5,15,5,15,4,15,3,14,3,14,2,13,2,12,2,11,2,10,2,9,2,8,2,7,2,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
