y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,37,17,37,16,36,16,35,16,34,16,33,16,32,16,31,16,30,16,29,16,28,16,27,16,26,16,25,16,24,16,23,16,22,16,21,16,21,15,20,15,20,14,20,13,20,12,19,12,18,12,17,12,17,11,17,10,17,9,17,8,17,7,17,6,16,6,16,7,16,8,16,9,16,10,16,11,16,12,15,12,14,12,14,13,13,13,13,14,12,14,11,14,11,15,10,15,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,35,19,34,19,33,19,32,19,31,19,31,20,30,20,29,20,28,20,27,20,26,20,25,20,24,20,23,20,22,20,21,20,20,20,19,20,18,20,18,21,17,21,17,22,16,22,15,22,14,22,13,22,12,22,12,21,11,21,11,20,10,20,9,20,9,19,8,19,7,19,7,18,6,18,6,17,5,17,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,32,17,31,17,30,17,29,17,28,17,27,17,26,17,26,16,26,15,25,15,25,14,24,14,24,13,23,13,22,13,22,12,22,11,21,11,21,10,20,10,20,9,20,8,20,7,19,7,19,6,18,6,17,6,16,6,16,5,15,5,15,6,14,6,14,7,14,8,13,8,13,9,13,10,12,10,11,10,11,11,11,12,11,13,10,13,10,14,9,14,8,14,8,15,7,15,6,15,5,15,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,35,17,34,17,33,17,32,17,31,17,30,17,29,17,28,17,27,17,26,17,25,17,24,17,23,17,22,17,22,16,21,16,20,16,19,16,18,16,17,16,17,15,17,14,16,14,15,14,14,14,13,14,12,14,12,15,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,29,19,28,19,27,19,26,19,25,19,24,19,24,20,24,21,23,21,22,21,21,21,21,22,21,23,20,23,20,24,20,25,20,26,20,27,19,27,18,27,17,27,16,27,16,28,16,27,16,26,16,25,16,24,16,23,15,23,14,23,13,23,12,23,12,22,12,21,12,20,11,20,10,20,10,19,9,19,8,19,7,19,6,19,5,19,4,19,3,19,3,18,2,18,1,18,1,17,1,16,0,16
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,25,19,24,19,23,19,22,19,21,19,20,19,19,19,19,20,19,21,19,22,18,22,17,22,17,23,16,23,15,23,14,23,13,23,12,23,11,23,11,24,11,23,11,22,10,22,9,22,9,21,9,20,9,19,8,19,7,19,6,19,5,19,4,19,4,18,4,17,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,31,17,30,17,29,17,28,17,27,17,27,16,26,16,26,15,25,15,24,15,23,15,23,14,23,13,22,13,21,13,21,12,20,12,19,12,19,13,19,14,18,14,17,14,16,14,16,15,15,15,14,15,13,15,12,15,11,15,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,28,17,27,17,26,17,25,17,24,17,23,17,22,17,22,16,21,16,21,15,20,15,19,15,18,15,17,15,16,15,15,15,14,15,13,15,12,15,11,15,10,15,9,15,8,15,7,15,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,32,19,31,19,30,19,29,19,28,19,27,19,27,20,27,21,26,21,25,21,25,22,24,22,23,22,22,22,21,22,20,22,19,22,19,21,18,21,17,21,16,21,15,21,14,21,13,21,13,20,13,19,12,19,11,19,10,19,9,19,8,19,7,19,6,19,5,19,5,18,4,18,3,18,3,17,3,16,2,16,1,16,0,16
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,38,17,38,16,38,15,38,14,37,14,36,14,35,14,35,13,34,13,33,13,33,12,33,11,33,10,32,10,31,10,31,9,30,9,29,9,29,10,29,11,28,11,27,11,27,12,27,13,27,14,26,14,25,14,24,14,23,14,23,15,22,15,22,16,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
