y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80,y_81,x_81,y_82,x_82,y_83,x_83,y_84,x_84,y_85,x_85
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,30,15,29,15,28,15,27,15,26,15,25,15,25,16,25,17,24,17,23,17,23,18,22,18,21,18,20,18,19,18,19,19,18,19,17,19,17,20,17,21,17,22,16,22,15,22,15,23,15,24,14,24,14,25,14,26,13,26,13,27,12,27,12,28,12,29,11,29,10,29,10,30,9,30,8,30,8,31,7,31,6,31,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,27,14,26,14,26,13,25,13,24,13,23,13,23,12,22,12,21,12,21,11,21,10,20,10,19,10,18,10,17,10,16,10,15,10,15,9,14,9,13,9,12,9,11,9,10,9,9,9,8,9,8,10,8,11,8,12,8,13,8,14,8,15,7,15,7,16,7,17,7,18,7,19,7,20,7,21,7,22,6,22,5,22,4,22,4,23,3,23,3,24,3,25,3,26,3,27,3,28,3,29,3,30,3,31,2,31,2,32,1,32,0,32
39,14,39,14,39,14,38,14,37,14,36,14,36,13,35,13,34,13,33,13,32,13,32,12,31,12,31,11,30,11,30,10,29,10,28,10,27,10,27,9,27,8,26,8,26,7,26,6,26,5,25,5,25,4,24,4,23,4,23,3,22,3,21,3,20,3,19,3,18,3,18,2,18,1,18,2,18,3,18,4,17,4,17,5,17,6,17,7,17,8,16,8,16,9,15,9,14,9,14,10,14,11,14,12,13,12,12,12,12,13,11,13,11,14,11,15,11,16,11,17,10,17,10,18,10,19,10,20,10,21,10,22,9,22,9,23,9,24,8,24,7,24,7,25,7,26,6,26,6,27,6,28,5,28,5,29,5,30,5,31,5,32,4,32,3,32,2,32,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,33,15,33,16,32,16,31,16,31,17,30,17,29,17,29,18,28,18,27,18,27,19,27,20,26,20,26,21,26,22,26,23,26,24,25,24,25,25,24,25,23,25,22,25,22,26,21,26,21,27,21,28,21,29,20,29,19,29,18,29,17,29,17,30,16,30,16,31,15,31,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,38,15,37,15,36,15,35,15,34,15,33,15,32,15,31,15,31,16,30,16,29,16,29,17,28,17,27,17,26,17,26,18,25,18,25,19,24,19,24,20,24,21,23,21,22,21,22,22,22,23,21,23,20,23,20,24,19,24,18,24,18,25,18,26,18,27,18,28,18,29,18,30,18,31,18,32,18,33,17,33,17,34,17,35,16,35,16,34,16,33,15,33,14,33,13,33,12,33,11,33,10,33,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,38,15,37,15,36,15,35,15,34,15,33,15,33,16,32,16,31,16,30,16,29,16,28,16,27,16,26,16,25,16,25,17,25,18,24,18,24,19,24,20,24,21,24,22,24,23,23,23,23,24,22,24,21,24,21,25,20,25,19,25,18,25,18,26,18,27,17,27,16,27,16,28,15,28,15,29,14,29,13,29,12,29,11,29,10,29,9,29,9,30,8,30,7,30,7,31,6,31,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,35,15,34,15,33,15,32,15,31,15,30,15,29,15,28,15,27,15,27,16,27,17,27,18,27,19,27,20,26,20,25,20,25,21,24,21,23,21,23,22,23,23,23,24,22,24,22,25,21,25,20,25,20,26,19,26,18,26,18,27,17,27,16,27,16,28,15,28,15,29,14,29,13,29,12,29,11,29,11,30,10,30,10,31,9,31,8,31,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,30,15,29,15,28,15,27,15,26,15,25,15,25,16,24,16,24,17,23,17,22,17,21,17,20,17,19,17,19,18,19,19,18,19,17,19,16,19,16,20,15,20,14,20,13,20,13,21,13,22,13,23,13,24,13,25,13,26,13,27,12,27,11,27,10,27,9,27,9,28,9,29,8,29,7,29,7,30,6,30,5,30,4,30,3,30,2,30,2,31,2,32,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,27,14,27,13,27,12,26,12,25,12,24,12,24,11,23,11,22,11,21,11,21,10,20,10,20,9,19,9,19,8,19,7,18,7,17,7,16,7,15,7,15,6,15,7,14,7,14,8,14,9,14,10,14,11,14,12,14,13,13,13,13,14,13,15,13,16,13,17,13,18,13,19,12,19,11,19,10,19,9,19,9,20,9,21,8,21,7,21,6,21,6,22,6,23,6,24,6,25,5,25,5,26,5,27,5,28,5,29,5,30,4,30,4,31,3,31,2,31,1,31,1,32,0,32
39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,33,13,32,13,32,12,31,12,30,12,30,11,30,10,29,10,29,9,29,8,28,8,27,8,27,7,26,7,25,7,25,6,25,5,25,4,24,4,24,3,23,3,22,3,21,3,20,3,20,2,20,1,19,1,19,2,18,2,17,2,17,3,17,4,17,5,17,6,16,6,16,7,16,8,16,9,15,9,15,10,15,11,15,12,15,13,15,14,15,15,15,16,15,17,14,17,13,17,13,18,13,19,13,20,13,21,13,22,13,23,13,24,13,25,13,26,13,27,13,28,13,29,12,29,11,29,10,29,9,29,9,30,8,30,7,30,7,31,6,31,5,31,4,31,3,31,2,31,2,32,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,28,14,27,14,26,14,25,14,24,14,23,14,22,14,21,14,21,15,20,15,19,15,18,15,17,15,16,15,15,15,14,15,13,15,12,15,11,15,10,15,10,16,10,17,10,18,9,18,9,19,8,19,7,19,7,20,6,20,6,21,5,21,4,21,4,22,4,23,3,23,3,24,3,25,3,26,3,27,3,28,2,28,1,28,1,29,1,30,1,31,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,32,15,32,16,31,16,30,16,29,16,29,17,29,18,29,19,28,19,28,20,27,20,26,20,26,21,26,22,26,23,26,24,25,24,24,24,23,24,22,24,21,24,21,25,20,25,20,26,20,27,19,27,18,27,17,27,17,28,16,28,16,29,15,29,14,29,13,29,12,29,11,29,10,29,10,30,10,31,9,31,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,38,15,37,15,36,15,35,15,34,15,33,15,32,15,32,16,32,17,31,17,31,18,30,18,30,19,30,20,29,20,29,21,28,21,28,22,28,23,27,23,27,24,27,25,26,25,26,26,26,27,26,28,26,29,26,30,26,31,26,32,25,32,25,33,24,33,24,34,23,34,22,34,21,34,21,33,21,32,20,32,19,32,18,32,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,31,13,30,13,29,13,28,13,28,12,28,11,27,11,27,10,27,9,27,8,27,7,27,6,27,5,27,4,27,3,26,3,26,2,26,1,26,2,26,3,26,4,26,5,25,5,25,6,24,6,24,7,24,8,24,9,23,9,23,10,23,11,22,11,21,11,21,12,21,13,21,14,21,15,21,16,21,17,21,18,21,19,20,19,20,20,20,21,19,21,19,22,19,23,18,23,18,24,17,24,17,25,16,25,15,25,15,26,14,26,13,26,12,26,11,26,11,27,11,28,10,28,10,29,10,30,10,31,9,31,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,37,15,36,15,35,15,35,16,34,16,34,17,34,18,34,19,34,20,34,21,34,22,34,23,34,24,34,25,34,26,33,26,33,27,33,28,32,28,31,28,31,29,31,30,31,31,31,32,30,32,29,32,28,32,27,32,26,32,25,32,24,32,23,32,22,32,21,32,20,32,19,32,18,32,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,37,15,36,15,36,16,35,16,35,17,34,17,33,17,33,18,33,19,32,19,31,19,31,20,30,20,30,21,30,22,30,23,30,24,29,24,29,25,28,25,28,26,28,27,28,28,28,29,28,30,27,30,26,30,25,30,24,30,24,31,23,31,22,31,21,31,20,31,20,32,19,32,18,32,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,34,13,34,12,33,12,33,11,32,11,31,11,30,11,30,10,29,10,28,10,27,10,27,9,27,8,26,8,26,7,26,6,26,5,26,6,26,7,26,8,26,9,26,10,25,10,24,10,24,11,23,11,23,12,23,13,23,14,22,14,22,15,21,15,21,16,21,17,20,17,20,18,20,19,20,20,19,20,18,20,17,20,17,21,17,22,17,23,17,24,16,24,16,25,16,26,16,27,15,27,14,27,13,27,12,27,12,28,11,28,11,29,11,30,10,30,9,30,9,31,8,31,7,31,6,31,5,31,5,32,4,32,3,32,2,32,1,32,0,32
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,37,15,36,15,35,15,34,15,33,15,33,16,33,17,32,17,32,18,31,18,30,18,29,18,29,19,29,20,28,20,27,20,26,20,26,21,26,22,26,23,25,23,25,24,25,25,25,26,24,26,24,27,24,28,24,29,24,30,23,30,23,31,23,32,22,32,21,32,20,32,19,32,18,32,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
