y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,38,7,37,7,36,7,35,7,34,7,34,8,34,9,33,9,33,10,33,11,33,12,33,13,33,14,33,15,33,16,33,17,32,17,32,18,31,18,30,18,30,19,30,20,30,21,30,22,30,23,30,24,29,24,28,24,27,24,26,24,26,23,25,23,24,23,23,23,22,23,21,23,20,23,19,23,19,22,19,21,19,20,18,20,18,19,17,19,17,18,16,18,15,18,14,18,13,18,13,17,12,17,11,17,10,17,9,17,8,17,7,17,6,17,5,17,4,17,3,17,2,17,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,34,7,34,8,33,8,32,8,32,9,32,10,31,10,31,11,30,11,29,11,29,12,29,13,29,14,28,14,28,15,27,15,26,15,26,16,25,16,24,16,23,16,22,16,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,6,38,6,38,7,37,7,36,7,35,7,34,7,33,7,32,7,32,8,32,9,31,9,30,9,29,9,28,9,27,9,26,9,26,10,26,11,26,12,26,13,25,13,24,13,23,13,23,14,23,15,22,15,22,16,22,17,22,18,21,18,20,18,19,18,18,18,18,19,17,19,17,20,17,21,16,21,15,21,14,21,14,22,13,22,13,23,13,24,12,24,11,24,11,25,11,26,11,27,11,28,11,27,10,27,10,26,9,26,9,25,9,24,8,24,7,24,6,24,6,23,5,23,5,22,5,21,5,20,4,20,4,19,4,18,4,17,4,16,3,16,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,24,6,24,7,23,7,22,7,21,7,21,8,20,8,20,9,19,9,19,10,18,10,17,10,17,11,16,11,15,11,14,11,13,11,12,11,11,11,10,11,9,11,9,12,9,13,9,14,8,14,8,15,7,15,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,37,7,36,7,35,7,34,7,33,7,32,7,31,7,31,8,31,9,30,9,30,10,29,10,29,11,29,12,29,13,29,14,29,15,29,16,29,17,29,18,28,18,28,19,27,19,26,19,25,19,24,19,24,18,23,18,23,17,22,17,21,17,20,17,19,17,18,17,17,17,16,17,15,17,14,17,13,17,12,17,11,17,10,17,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,6,39,6,39,6,38,6,37,6,36,6,35,6,35,7,34,7,33,7,33,8,33,9,33,10,33,11,33,12,32,12,32,13,32,14,32,15,32,16,32,17,32,18,32,19,32,20,32,21,32,22,32,23,31,23,31,24,31,25,30,25,30,26,30,27,30,26,30,25,29,25,28,25,28,24,28,23,27,23,26,23,25,23,25,22,25,21,24,21,23,21,23,20,22,20,22,19,22,18,22,17,21,17,20,17,19,17,18,17,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,29,5,28,5,28,4,27,4,26,4,25,4,24,4,23,4,22,4,21,4,20,4,19,4,18,4,18,5,18,6,17,6,16,6,15,6,14,6,14,7,14,8,13,8,13,9,13,10,12,10,12,11,11,11,10,11,9,11,8,11,8,12,8,13,8,14,7,14,6,14,5,14,4,14,3,14,3,15,2,15,1,15,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,30,7,29,7,29,8,28,8,28,9,27,9,27,10,27,11,27,12,26,12,26,13,26,14,25,14,24,14,23,14,23,15,22,15,21,15,20,15,19,15,18,15,17,15,17,16,17,17,17,18,17,19,16,19,16,20,16,21,15,21,14,21,13,21,12,21,11,21,10,21,10,20,9,20,8,20,8,19,7,19,7,18,7,17,6,17,5,17,5,16,4,16,3,16,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,31,7,31,8,30,8,30,9,30,10,29,10,29,11,28,11,27,11,27,12,27,13,26,13,26,14,25,14,25,15,24,15,24,16,24,17,23,17,22,17,21,17,20,17,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,24,6,23,6,22,6,21,6,20,6,19,6,18,6,17,6,16,6,15,6,14,6,13,6,12,6,11,6,10,6,9,6,9,7,8,7,7,7,7,8,7,9,7,10,6,10,6,11,5,11,4,11,4,12,4,13,3,13,2,13,2,14,1,14,1,15,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,35,7,34,7,33,7,33,8,32,8,31,8,30,8,29,8,29,9,29,10,28,10,28,11,27,11,27,12,26,12,26,13,25,13,24,13,24,14,24,15,23,15,22,15,22,16,21,16,21,17,21,18,21,19,20,19,19,19,18,19,18,20,18,21,17,21,17,22,17,23,16,23,16,24,16,23,15,23,15,22,14,22,13,22,13,21,12,21,12,20,12,19,11,19,11,18,11,17,10,17,9,17,8,17,7,17,6,17,5,17,4,17,3,17,2,17,1,17,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,37,7,36,7,35,7,34,7,33,7,32,7,31,7,31,8,30,8,30,9,29,9,28,9,27,9,26,9,25,9,24,9,23,9,23,10,23,11,22,11,22,12,21,12,20,12,19,12,19,13,18,13,18,14,17,14,17,15,16,15,16,16,16,17,16,18,15,18,15,19,15,20,15,21,15,20,15,19,14,19,13,19,12,19,11,19,10,19,9,19,8,19,7,19,6,19,5,19,5,18,4,18,3,18,3,17,3,16,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,33,7,33,8,33,9,32,9,31,9,30,9,30,10,29,10,28,10,27,10,26,10,25,10,24,10,23,10,22,10,21,10,20,10,19,10,19,11,18,11,17,11,16,11,15,11,15,12,14,12,14,13,14,14,14,15,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,37,7,37,8,36,8,35,8,34,8,34,9,34,10,34,11,33,11,32,11,32,12,32,13,32,14,32,15,32,16,31,16,31,17,30,17,29,17,29,18,29,19,28,19,28,18,27,18,26,18,25,18,25,17,25,16,24,16,23,16,22,16,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
