y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,36,5,35,5,34,5,33,5,32,5,31,5,30,5,29,5,29,4,28,4,27,4,27,3,26,3,25,3,25,4,25,5,24,5,24,6,23,6,23,7,23,8,22,8,21,8,21,9,20,9,20,10,19,10,19,11,18,11,18,12,18,13,17,13,17,14,16,14,15,14,14,14,13,14,12,14,11,14,10,14,9,14,8,14,8,15,7,15,6,15,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,36,7,35,7,34,7,33,7,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,26,9,26,10,26,11,26,12,26,13,25,13,25,14,24,14,24,15,23,15,23,16,23,17,23,18,23,19,22,19,22,20,21,20,20,20,19,20,18,20,17,20,16,20,15,20,15,19,14,19,13,19,12,19,12,18,11,18,10,18,9,18,8,18,7,18,7,17,6,17,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,34,7,33,7,32,7,31,7,30,7,29,7,28,7,27,7,27,8,27,9,27,10,26,10,25,10,24,10,24,11,23,11,22,11,22,12,21,12,20,12,19,12,18,12,17,12,16,12,15,12,14,12,13,12,12,12,11,12,11,13,10,13,10,14,10,15,9,15,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,36,5,35,5,34,5,33,5,32,5,32,4,31,4,30,4,29,4,28,4,27,4,26,4,25,4,24,4,24,3,23,3,22,3,21,3,20,3,19,3,19,2,18,2,18,3,18,4,18,5,17,5,16,5,15,5,15,6,15,7,15,8,15,9,15,10,14,10,14,11,14,12,14,13,13,13,12,13,12,14,11,14,11,15,10,15,9,15,8,15,7,15,6,15,5,15,4,15,4,16,3,16,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,36,7,36,8,35,8,35,9,34,9,33,9,33,10,32,10,31,10,31,11,30,11,29,11,29,12,29,13,28,13,27,13,26,13,25,13,24,13,23,13,22,13,21,13,20,13,19,13,19,14,18,14,17,14,16,14,16,15,15,15,15,16,14,16,14,17,14,18,14,19,13,19,12,19,12,20,12,21,11,21,11,20,11,19,11,18,10,18,9,18,8,18,7,18,7,17,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,28,7,27,7,27,8,26,8,26,9,26,10,26,11,25,11,24,11,24,12,23,12,23,13,22,13,22,14,21,14,21,15,21,16,21,17,20,17,20,18,20,19,20,20,20,21,19,21,19,22,19,23,18,23,18,24,18,25,18,26,18,27,18,28,18,27,18,26,18,25,18,24,18,23,17,23,17,22,17,21,16,21,16,20,15,20,14,20,13,20,12,20,12,19,11,19,10,19,9,19,9,18,8,18,7,18,6,18,5,18,4,18,3,18,3,17,3,16,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,31,5,30,5,29,5,28,5,27,5,26,5,25,5,24,5,23,5,22,5,21,5,20,5,20,4,19,4,19,3,18,3,17,3,16,3,15,3,14,3,13,3,12,3,11,3,10,3,10,4,10,5,9,5,9,6,9,7,9,8,8,8,7,8,7,9,7,10,7,11,7,12,6,12,5,12,5,13,4,13,3,13,2,13,2,14,2,15,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,36,7,35,7,35,8,34,8,33,8,33,9,32,9,32,10,31,10,31,11,31,12,31,13,31,14,31,15,31,16,30,16,30,17,29,17,28,17,28,18,27,18,27,19,26,19,26,20,26,21,26,20,25,20,25,19,24,19,23,19,22,19,21,19,20,19,19,19,18,19,17,19,16,19,15,19,14,19,13,19,12,19,12,18,11,18,10,18,9,18,8,18,7,18,6,18,5,18,5,17,4,17,3,17,2,17,1,17,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,29,7,28,7,27,7,26,7,25,7,24,7,23,7,22,7,22,8,21,8,20,8,20,9,19,9,19,10,19,11,18,11,18,12,17,12,17,13,17,14,17,15,16,15,15,15,15,16,14,16,13,16,13,17,12,17,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,38,7,37,7,36,7,35,7,34,7,33,7,33,8,32,8,32,9,31,9,30,9,30,10,29,10,28,10,27,10,27,11,26,11,25,11,24,11,24,12,23,12,22,12,21,12,20,12,20,13,19,13,18,13,17,13,16,13,15,13,14,13,13,13,12,13,12,14,11,14,11,15,10,15,9,15,8,15,7,15,6,15,6,16,5,16,4,16,3,16,2,16,1,16,0,16
