y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76
39,16,39,16,38,16,37,16,36,16,36,15,35,15,35,14,34,14,34,13,33,13,32,13,32,12,32,11,31,11,31,10,31,9,30,9,29,9,29,8,28,8,27,8,26,8,26,7,25,7,25,6,25,5,24,5,23,5,23,4,23,5,22,5,22,6,22,7,22,8,22,9,21,9,20,9,20,10,20,11,19,11,18,11,17,11,17,12,17,13,16,13,16,14,15,14,15,15,15,16,15,17,15,18,15,19,14,19,14,20,14,21,14,22,13,22,13,23,13,24,12,24,12,25,11,25,10,25,10,26,10,27,9,27,8,27,7,27,6,27,5,27,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,38,17,37,17,37,18,36,18,35,18,34,18,34,19,33,19,33,20,33,21,32,21,32,22,32,23,31,23,31,24,31,25,31,26,30,26,30,27,30,28,30,29,29,29,29,30,28,30,27,30,27,29,26,29,25,29,24,29,23,29,22,29,22,28,21,28,20,28,19,28,18,28,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,37,17,36,17,35,17,35,18,35,19,34,19,34,20,34,21,33,21,32,21,31,21,31,22,31,23,30,23,30,24,29,24,29,25,28,25,28,26,28,27,28,28,28,29,28,30,28,31,28,32,27,32,27,33,27,34,27,35,26,35,26,34,26,33,25,33,25,32,25,31,24,31,23,31,23,30,23,29,22,29,21,29,20,29,19,29,18,29,17,29,16,29,15,29,14,29,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,38,17,38,18,37,18,37,19,36,19,35,19,34,19,34,20,33,20,33,21,32,21,32,22,32,23,32,24,32,25,31,25,30,25,30,26,30,27,30,28,29,28,29,29,29,30,28,30,28,31,27,31,26,31,25,31,25,32,25,33,25,34,24,34,23,34,23,33,22,33,21,33,20,33,20,32,19,32,18,32,18,31,18,30,17,30,17,29,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,32,16,31,16,31,17,30,17,29,17,28,17,27,17,26,17,26,18,25,18,24,18,23,18,22,18,21,18,20,18,19,18,18,18,17,18,16,18,15,18,14,18,13,18,12,18,11,18,10,18,10,19,10,20,10,21,10,22,9,22,9,23,8,23,7,23,6,23,5,23,5,24,5,25,5,26,5,27,4,27,3,27,2,27,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,36,17,36,18,36,19,35,19,35,20,34,20,33,20,32,20,31,20,30,20,29,20,28,20,28,21,27,21,27,22,26,22,25,22,24,22,23,22,23,23,22,23,21,23,21,24,20,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,11,25,10,25,10,26,9,26,8,26,8,27,7,27,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,38,15,37,15,36,15,35,15,34,15,34,14,34,13,33,13,33,12,32,12,32,11,32,10,31,10,31,11,30,11,30,12,30,13,30,14,29,14,29,15,29,16,28,16,27,16,26,16,25,16,25,17,24,17,23,17,23,18,22,18,22,19,21,19,21,20,21,21,21,22,20,22,19,22,18,22,17,22,17,23,16,23,15,23,15,24,14,24,13,24,13,25,13,26,12,26,11,26,11,27,10,27,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,36,17,35,17,34,17,33,17,33,18,33,19,32,19,32,20,32,21,32,22,32,23,32,24,32,25,32,26,32,27,31,27,31,28,30,28,30,29,30,30,29,30,28,30,27,30,26,30,25,30,25,31,24,31,23,31,22,31,22,30,21,30,20,30,19,30,18,30,18,29,17,29,16,29,15,29,14,29,13,29,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,36,17,36,18,35,18,35,19,35,20,35,21,34,21,33,21,33,22,32,22,32,23,31,23,30,23,29,23,28,23,28,24,28,25,28,26,27,26,27,27,26,27,26,28,26,29,26,30,26,31,26,32,26,33,26,34,26,35,26,36,26,35,25,35,25,34,25,33,24,33,23,33,23,32,22,32,21,32,20,32,19,32,19,31,18,31,17,31,16,31,15,31,14,31,14,30,14,29,13,29,12,29,11,29,10,29,9,29,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,32,16,31,16,30,16,29,16,28,16,27,16,26,16,25,16,24,16,23,16,22,16,21,16,20,16,19,16,19,17,18,17,17,17,17,18,17,19,16,19,15,19,14,19,13,19,12,19,11,19,11,20,11,21,10,21,9,21,9,22,9,23,9,24,9,25,8,25,8,26,7,26,6,26,5,26,4,26,4,27,4,28,3,28,2,28,1,28,0,28
