y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80,y_81,x_81,y_82,x_82,y_83,x_83,y_84,x_84,y_85,x_85,y_86,x_86
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,29,35,29,34,29,33,28,33,28,32,27,32,27,31,27,30,26,30,25,30,24,30,23,30,22,30,21,30,21,29,21,28,21,27,21,26,20,26,20,25,20,24,19,24,18,24,18,23,17,23,16,23,16,22,15,22,14,22,14,21,13,21,13,20,13,19,12,19,11,19,10,19,10,18,10,17,10,16,10,15,9,15,8,15,8,16,7,16,7,17,7,18,6,18,5,18,5,19,4,19,3,19,3,20,2,20,1,20,0,20
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,35,35,34,35,34,34,34,33,34,32,34,31,33,31,32,31,31,31,31,30,31,29,31,28,31,27,30,27,30,26,30,25,30,24,29,24,28,24,27,24,27,23,27,22,27,21,26,21,26,20,25,20,25,19,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,23,11,23,10,23,9,23,8,23,9,23,10,23,11,23,12,22,12,21,12,20,12,20,13,20,14,19,14,18,14,17,14,16,14,15,14,15,15,14,15,14,16,14,17,13,17,13,18,13,19,12,19,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,38,35,38,34,38,33,38,32,37,32,37,31,37,30,37,29,37,28,36,28,35,28,35,27,35,26,35,25,35,24,34,24,34,23,34,22,34,21,34,20,34,19,34,18,33,18,33,17,32,17,32,16,31,16,31,15,31,14,31,13,31,12,31,11,30,11,29,11,29,12,28,12,27,12,26,12,26,13,25,13,25,14,24,14,23,14,22,14,21,14,20,14,19,14,19,15,19,16,19,17,18,17,17,17,16,17,15,17,15,18,14,18,14,19,13,19,12,19,11,19,10,19,9,19,8,19,7,19,6,19,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,36,39,36,39,36,39,36,38,36,37,36,36,36,36,35,35,35,34,35,34,34,33,34,33,33,32,33,32,32,32,31,31,31,30,31,30,30,30,29,30,28,30,27,29,27,28,27,28,26,27,26,26,26,25,26,25,25,24,25,23,25,22,25,22,24,22,23,21,23,20,23,20,22,19,22,19,21,19,20,18,20,17,20,17,19,16,19,15,19,15,18,15,17,15,16,15,15,15,14,15,13,15,12,15,11,15,10,15,9,15,8,15,7,14,7,14,6,13,6,13,7,12,7,12,8,12,9,11,9,11,10,11,11,11,12,11,13,11,14,10,14,10,15,10,16,9,16,8,16,7,16,7,17,7,18,7,19,6,19,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,38,35,37,35,37,34,36,34,35,34,34,34,34,33,33,33,33,32,32,32,32,31,31,31,30,31,30,30,29,30,29,29,28,29,27,29,26,29,26,28,25,28,24,28,24,27,23,27,22,27,21,27,20,27,20,26,19,26,19,25,19,24,18,24,18,23,17,23,16,23,16,22,15,22,15,21,14,21,13,21,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,38,35,38,34,38,33,38,32,38,31,37,31,36,31,36,30,36,29,36,28,35,28,35,27,34,27,33,27,33,26,33,25,32,25,32,24,32,23,32,22,32,21,32,20,31,20,31,19,31,18,31,17,31,16,31,15,30,15,29,15,28,15,27,15,27,16,26,16,25,16,25,17,24,17,23,17,22,17,21,17,21,18,20,18,20,19,19,19,18,19,17,19,16,19,15,19,15,20,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,38,35,38,34,38,33,38,32,38,31,38,30,37,30,37,29,36,29,35,29,34,29,33,29,33,28,33,27,33,26,33,25,33,24,33,23,33,22,32,22,31,22,31,21,31,20,31,19,30,19,29,19,28,19,27,19,26,19,25,19,24,19,23,19,22,19,21,19,20,19,19,19,18,19,17,19,16,19,15,19,14,19,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,31,35,30,35,29,35,28,35,27,35,26,35,25,35,24,35,23,35,22,35,22,34,21,34,20,34,19,34,18,34,18,33,17,33,16,33,15,33,15,32,15,31,15,30,15,29,14,29,14,28,13,28,12,28,12,27,12,26,11,26,11,25,11,24,10,24,9,24,8,24,8,23,7,23,6,23,6,22,5,22,5,21,4,21,3,21,2,21,2,20,1,20,0,20
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,36,35,36,34,36,33,35,33,35,32,34,32,33,32,32,32,31,32,31,31,30,31,30,30,30,29,29,29,28,29,27,29,26,29,26,28,26,27,25,27,24,27,23,27,22,27,21,27,21,26,20,26,19,26,18,26,17,26,16,26,16,25,15,25,15,24,14,24,14,23,13,23,13,22,12,22,11,22,10,22,9,22,8,22,8,21,7,21,6,21,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,33,37,32,37,31,37,30,37,29,37,28,37,27,37,27,38,26,38,25,38,24,38,24,37,24,36,23,36,22,36,22,35,22,34,22,33,22,32,21,32,20,32,19,32,19,31,19,30,19,29,19,28,18,28,18,27,17,27,17,26,16,26,15,26,14,26,14,25,14,24,14,23,14,22,13,22,12,22,11,22,10,22,9,22,8,22,8,21,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,38,35,37,35,37,34,37,33,36,33,36,32,35,32,35,31,34,31,33,31,33,30,33,29,33,28,33,27,33,26,33,25,32,25,32,24,31,24,31,23,30,23,30,22,29,22,28,22,27,22,27,21,26,21,25,21,24,21,23,21,22,21,21,21,20,21,19,21,18,21,17,21,16,21,15,21,14,21,13,21,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,38,35,37,35,37,34,36,34,35,34,34,34,33,34,32,34,32,33,31,33,30,33,29,33,28,33,27,33,26,33,26,32,25,32,24,32,24,31,23,31,22,31,22,30,21,30,20,30,19,30,18,30,17,30,17,29,16,29,16,28,15,28,15,27,15,26,15,25,15,24,15,23,14,23,13,23,12,23,12,22,11,22,11,21,10,21,9,21,8,21,7,21,6,21,5,21,4,21,3,21,2,21,2,20,1,20,0,20
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,33,35,32,35,31,35,30,35,29,35,28,35,27,35,26,35,25,35,24,35,24,34,24,33,24,32,24,31,23,31,23,30,22,30,22,29,21,29,21,28,20,28,19,28,18,28,17,28,17,27,17,26,16,26,16,25,16,24,15,24,14,24,13,24,13,23,12,23,12,22,11,22,10,22,10,21,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,36,35,35,35,35,34,34,34,33,34,32,34,32,33,32,32,31,32,30,32,30,31,29,31,29,30,28,30,27,30,27,29,27,28,26,28,25,28,25,27,24,27,24,26,24,25,24,24,23,24,22,24,22,23,21,23,21,22,21,21,20,21,20,20,19,20,18,20,17,20,17,19,16,19,16,18,16,17,15,17,15,16,15,15,15,14,15,13,14,13,14,12,14,11,14,10,13,10,13,9,12,9,12,8,12,7,12,8,11,8,11,9,10,9,10,10,9,10,9,11,8,11,8,12,8,13,8,14,8,15,8,16,7,16,6,16,6,17,6,18,5,18,4,18,4,19,3,19,2,19,1,19,1,20,0,20
39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,32,35,31,35,31,34,31,33,30,33,29,33,28,33,28,32,27,32,26,32,26,31,25,31,24,31,24,30,24,29,24,28,24,27,23,27,22,27,21,27,21,26,20,26,19,26,19,25,18,25,17,25,16,25,15,25,15,24,14,24,13,24,12,24,11,24,10,24,9,24,9,23,9,22,9,21,8,21,7,21,6,21,6,20,5,20,4,20,3,20,2,20,1,20,0,20
