y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53
39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,29,22,28,22,27,22,27,23,27,22,26,22,26,21,25,21,25,20,25,19,24,19,23,19,22,19,21,19,21,18,20,18,19,18,18,18,17,18,17,17,16,17,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,22,38,22,38,21,38,20,37,20,36,20,35,20,34,20,33,20,33,19,33,18,32,18,31,18,31,17,31,16,30,16,29,16,29,15,29,14,28,14,28,13,27,13,27,12,26,12,26,13,25,13,24,13,24,14,23,14,22,14,21,14,20,14,19,14,18,14,17,14,16,14,16,15,15,15,14,15,13,15,12,15,11,15,10,15,9,15,8,15,7,15,6,15,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,22,39,22,39,22,38,22,37,22,37,23,36,23,35,23,34,23,33,23,32,23,31,23,30,23,29,23,28,23,27,23,26,23,25,23,24,23,23,23,22,23,21,23,21,24,20,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,12,25,11,25,10,25,10,24,10,23,10,22,9,22,8,22,8,21,8,20,8,19,7,19,6,19,5,19,4,19,3,19,3,18,3,17,2,17,2,16,1,16,0,16
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,30,21,30,20,29,20,28,20,27,20,26,20,25,20,24,20,23,20,22,20,21,20,20,20,19,20,18,20,17,20,16,20,15,20,14,20,13,20,12,20,12,19,12,18,11,18,10,18,9,18,8,18,7,18,6,18,5,18,4,18,3,18,3,17,2,17,1,17,1,16,0,16
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,29,22,28,22,27,22,27,21,26,21,26,20,26,19,25,19,24,19,23,19,23,18,22,18,21,18,20,18,19,18,19,17,18,17,17,17,16,17,15,17,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,29,22,28,22,27,22,26,22,25,22,24,22,23,22,23,21,22,21,21,21,20,21,20,20,19,20,19,19,19,18,18,18,17,18,17,17,16,17,15,17,14,17,13,17,12,17,11,17,10,17,9,17,8,17,7,17,6,17,5,17,4,17,4,16,3,16,2,16,1,16,0,16
39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,36,21,35,21,34,21,33,21,33,20,32,20,31,20,30,20,29,20,29,19,28,19,28,18,27,18,26,18,25,18,24,18,24,17,23,17,22,17,21,17,21,16,21,15,20,15,20,14,19,14,18,14,17,14,16,14,15,14,14,14,14,15,13,15,12,15,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,29,22,28,22,27,22,26,22,25,22,24,22,23,22,23,23,22,23,21,23,20,23,19,23,18,23,17,23,16,23,15,23,14,23,13,23,13,22,12,22,12,21,12,20,12,19,11,19,11,18,10,18,9,18,8,18,7,18,6,18,6,17,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,31,21,30,21,30,20,29,20,29,19,28,19,27,19,26,19,26,18,26,17,25,17,24,17,24,16,23,16,22,16,21,16,20,16,19,16,19,15,18,15,17,15,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,29,22,29,21,28,21,28,20,27,20,26,20,25,20,25,19,24,19,23,19,22,19,21,19,21,18,20,18,19,18,18,18,17,18,16,18,15,18,14,18,13,18,13,17,12,17,11,17,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
