y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48
39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,23,1,22,1,21,1,20,1,19,1,18,1,17,1,16,1,15,1,15,2,14,2,14,3,14,4,13,4,13,5,12,5,11,5,10,5,10,6,9,6,8,6,7,6,6,6,6,7,5,7,4,7,3,7,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,24,3,23,3,22,3,21,3,20,3,20,4,20,5,20,6,19,6,18,6,17,6,17,7,16,7,15,7,14,7,13,7,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,23,3,22,3,21,3,20,3,19,3,18,3,17,3,16,3,15,3,14,3,13,3,13,4,12,4,12,5,11,5,10,5,9,5,9,6,9,7,8,7,7,7,6,7,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,28,3,27,3,26,3,25,3,24,3,23,3,22,3,21,3,20,3,19,3,19,4,18,4,17,4,16,4,15,4,14,4,14,5,13,5,12,5,12,6,11,6,10,6,9,6,8,6,7,6,6,6,5,6,5,7,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,36,3,35,3,35,4,35,5,34,5,33,5,32,5,32,6,31,6,30,6,29,6,28,6,27,6,26,6,26,7,25,7,24,7,23,7,22,7,21,7,20,7,19,7,18,7,17,7,16,7,15,7,14,7,13,7,12,7,11,7,10,7,9,7,8,7,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,28,3,27,3,26,3,25,3,24,3,23,3,22,3,21,3,20,3,19,3,18,3,17,3,17,4,16,4,16,5,16,6,15,6,14,6,14,7,14,8,13,8,12,8,12,9,11,9,10,9,9,9,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,32,3,32,4,31,4,30,4,30,5,30,6,29,6,29,7,28,7,27,7,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,31,3,30,3,29,3,29,4,28,4,28,5,28,6,27,6,27,7,26,7,25,7,24,7,23,7,22,7,21,7,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,20,2,20,3,20,4,19,4,18,4,17,4,16,4,15,4,14,4,13,4,12,4,12,5,11,5,10,5,10,6,9,6,8,6,8,7,7,7,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,20,2,20,3,19,3,18,3,17,3,16,3,15,3,15,4,14,4,13,4,12,4,12,5,11,5,10,5,9,5,8,5,8,6,8,7,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,20,2,19,2,18,2,18,3,17,3,17,4,16,4,15,4,14,4,13,4,12,4,11,4,10,4,9,4,9,5,8,5,8,6,7,6,6,6,6,7,5,7,4,7,3,7,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,38,3,37,3,36,3,35,3,34,3,33,3,32,3,31,3,30,3,29,3,29,4,28,4,27,4,27,5,26,5,25,5,24,5,23,5,22,5,21,5,20,5,19,5,18,5,17,5,16,5,15,5,14,5,13,5,13,6,13,7,12,7,11,7,10,7,9,7,8,7,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,37,3,36,3,35,3,34,3,33,3,32,3,31,3,30,3,30,4,30,5,30,6,30,7,29,7,28,7,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,35,3,34,3,33,3,32,3,31,3,30,3,30,4,30,5,30,6,30,7,29,7,28,7,27,7,26,7,25,7,25,8,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,32,3,31,3,30,3,29,3,28,3,27,3,26,3,25,3,25,4,24,4,23,4,22,4,21,4,20,4,19,4,19,5,18,5,17,5,16,5,15,5,14,5,14,6,13,6,12,6,11,6,11,7,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,36,3,35,3,34,3,33,3,32,3,31,3,30,3,29,3,28,3,27,3,26,3,25,3,24,3,23,3,22,3,22,4,22,5,22,6,21,6,20,6,20,7,19,7,18,7,17,7,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,24,3,24,4,23,4,23,5,22,5,21,5,20,5,19,5,18,5,18,6,17,6,16,6,15,6,15,7,14,7,13,7,12,7,11,7,10,7,9,7,8,7,7,7,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,30,1,29,1,28,1,27,1,27,2,26,2,25,2,24,2,24,3,23,3,22,3,21,3,20,3,19,3,19,4,18,4,17,4,16,4,16,5,16,6,15,6,15,7,14,7,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,26,3,25,3,24,3,24,4,23,4,22,4,21,4,20,4,19,4,19,5,18,5,17,5,17,6,16,6,15,6,15,7,14,7,13,7,13,8,12,8,11,8,10,8,10,9,9,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,9,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,31,3,30,3,29,3,28,3,27,3,26,3,25,3,24,3,23,3,22,3,21,3,20,3,19,3,19,4,18,4,18,5,17,5,16,5,15,5,14,5,13,5,13,6,12,6,11,6,10,6,9,6,8,6,7,6,6,6,5,6,5,7,4,7,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,20,2,19,2,18,2,18,3,17,3,17,4,17,5,17,6,16,6,15,6,14,6,13,6,12,6,12,7,11,7,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,38,2,37,2,37,3,36,3,35,3,34,3,34,4,34,5,34,6,33,6,33,7,33,8,32,8,31,8,30,8,30,9,29,9,28,9,27,9,26,9,25,9,24,9,23,9,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,23,3,22,3,21,3,20,3,20,4,20,5,20,6,19,6,18,6,17,6,16,6,15,6,15,7,14,7,13,7,12,7,11,7,10,7,9,7,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,30,3,29,3,28,3,28,4,28,5,27,5,27,6,26,6,25,6,24,6,24,7,23,7,22,7,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,26,3,25,3,24,3,23,3,22,3,21,3,20,3,19,3,18,3,17,3,16,3,15,3,14,3,13,3,12,3,11,3,10,3,9,3,9,4,9,5,8,5,7,5,7,6,6,6,6,7,5,7,4,7,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,26,3,25,3,24,3,24,4,23,4,22,4,21,4,21,5,21,6,20,6,19,6,18,6,18,7,17,7,16,7,15,7,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,34,3,33,3,32,3,31,3,30,3,29,3,28,3,27,3,26,3,25,3,24,3,23,3,23,4,23,5,22,5,22,6,21,6,20,6,20,7,19,7,18,7,17,7,16,7,15,7,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,20,2,19,2,18,2,17,2,16,2,15,2,14,2,13,2,12,2,12,3,11,3,10,3,9,3,9,4,8,4,8,5,7,5,6,5,5,5,5,6,5,7,4,7,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,36,3,35,3,34,3,33,3,32,3,31,3,30,3,29,3,29,4,28,4,27,4,26,4,26,5,25,5,24,5,23,5,22,5,21,5,20,5,19,5,19,6,18,6,17,6,16,6,15,6,14,6,13,6,13,7,12,7,11,7,10,7,9,7,8,7,7,7,6,7,5,7,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,25,3,24,3,24,4,23,4,22,4,21,4,20,4,20,5,19,5,19,6,18,6,17,6,17,7,17,8,16,8,15,8,14,8,13,8,12,8,12,9,11,9,10,9,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,28,3,27,3,26,3,25,3,25,4,24,4,23,4,23,5,22,5,21,5,20,5,19,5,18,5,17,5,17,6,16,6,16,7,15,7,14,7,13,7,12,7,11,7,10,7,9,7,8,7,7,7,6,7,5,7,4,7,4,8,3,8,2,8,1,8,0,8
