y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57
39,34,39,34,39,34,39,34,39,34,39,34,39,34,38,34,37,34,36,34,35,34,34,34,33,34,32,34,31,34,30,34,29,34,29,35,28,35,27,35,27,36,26,36,26,37,26,38,25,38,24,38,23,38,22,38,21,38,20,38,19,38,18,38,18,39,17,39,16,39,16,38,16,37,15,37,14,37,13,37,13,36,13,35,13,34,13,33,12,33,11,33,10,33,9,33,8,33,7,33,6,33,5,33,5,32,4,32,3,32,2,32,1,32,0,32
39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,38,34,37,34,36,34,35,34,34,34,33,34,32,34,31,34,30,34,29,34,28,34,28,33,27,33,27,32,26,32,25,32,24,32,23,32,22,32,21,32,20,32,19,32,19,31,19,30,18,30,18,29,17,29,16,29,15,29,14,29,14,30,13,30,12,30,11,30,11,31,10,31,9,31,8,31,7,31,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,38,34,37,34,37,33,36,33,35,33,34,33,33,33,32,33,31,33,31,32,30,32,29,32,28,32,27,32,26,32,25,32,24,32,23,32,22,32,21,32,20,32,19,32,18,32,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,38,34,37,34,36,34,35,34,34,34,33,34,32,34,31,34,30,34,29,34,28,34,28,33,28,32,27,32,27,31,26,31,25,31,24,31,23,31,23,30,22,30,21,30,21,29,20,29,19,29,18,29,18,28,17,28,16,28,15,28,14,28,14,29,13,29,13,30,12,30,12,31,11,31,10,31,9,31,8,31,7,31,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,38,34,38,33,37,33,36,33,35,33,34,33,34,32,33,32,32,32,31,32,30,32,29,32,28,32,28,31,27,31,26,31,26,30,25,30,24,30,23,30,22,30,21,30,20,30,19,30,18,30,17,30,16,30,16,29,15,29,14,29,13,29,13,30,12,30,11,30,10,30,10,31,9,31,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,39,34,38,34,37,34,36,34,35,34,35,35,34,35,33,35,32,35,31,35,30,35,29,35,28,35,28,36,27,36,26,36,25,36,24,36,23,36,22,36,22,37,21,37,20,37,20,38,19,38,18,38,17,38,17,37,17,36,17,35,16,35,15,35,15,34,14,34,13,34,13,33,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,34,39,34,39,34,38,34,38,33,37,33,37,32,37,31,37,30,36,30,36,29,36,28,35,28,34,28,33,28,33,27,32,27,32,26,31,26,30,26,30,25,29,25,29,26,28,26,27,26,26,26,25,26,24,26,23,26,22,26,21,26,20,26,19,26,18,26,18,27,18,28,17,28,16,28,15,28,14,28,14,29,14,30,13,30,13,31,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,34,39,34,39,34,39,34,39,34,39,34,39,34,38,34,37,34,36,34,35,34,34,34,33,34,32,34,31,34,30,34,29,34,29,35,28,35,27,35,26,35,26,36,25,36,25,37,24,37,23,37,22,37,21,37,20,37,19,37,18,37,17,37,16,37,15,37,14,37,13,37,13,38,12,38,12,39,11,39,10,39,9,39,9,38,9,37,9,36,8,36,7,36,7,35,7,34,7,33,6,33,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,34,39,34,39,34,39,34,39,34,39,34,39,34,38,34,37,34,36,34,35,34,34,34,33,34,32,34,31,34,31,35,30,35,30,36,29,36,28,36,27,36,26,36,25,36,25,37,24,37,23,37,22,37,21,37,20,37,20,38,20,39,19,39,18,39,18,38,18,37,17,37,16,37,15,37,15,36,14,36,14,35,13,35,12,35,12,34,11,34,11,33,10,33,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,34,39,34,39,34,39,34,39,34,39,34,39,34,38,34,37,34,36,34,35,34,34,34,33,34,32,34,31,34,30,34,29,34,28,34,27,34,26,34,26,35,25,35,25,36,25,37,24,37,23,37,23,38,22,38,22,39,21,39,20,39,19,39,18,39,17,39,16,39,16,38,16,37,15,37,15,36,14,36,13,36,12,36,11,36,10,36,9,36,9,35,9,34,8,34,7,34,6,34,6,33,5,33,4,33,3,33,2,33,2,32,1,32,0,32
