y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,33,3,32,3,31,3,30,3,29,3,28,3,27,3,26,3,25,3,25,4,25,5,24,5,23,5,23,6,22,6,22,7,22,6,22,5,21,5,20,5,20,4,20,3,20,2,19,2,18,2,17,2,16,2,15,2,15,1,14,1,13,1,12,1,11,1,10,1,9,1,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,38,2,37,2,36,2,35,2,35,3,35,4,35,5,35,6,34,6,34,7,34,8,33,8,32,8,32,9,31,9,31,10,31,11,31,12,31,13,30,13,30,12,29,12,29,11,28,11,28,10,28,9,27,9,27,8,27,7,26,7,25,7,25,6,25,5,24,5,24,4,23,4,22,4,21,4,20,4,19,4,18,4,17,4,17,3,16,3,15,3,14,3,14,2,13,2,12,2,11,2,11,1,10,1,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,36,3,36,4,35,4,35,5,34,5,33,5,32,5,32,6,32,7,31,7,30,7,29,7,28,7,27,7,26,7,25,7,24,7,24,6,24,5,23,5,22,5,22,4,21,4,20,4,19,4,18,4,18,3,17,3,16,3,15,3,14,3,13,3,12,3,11,3,10,3,9,3,8,3,8,2,8,1,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,20,2,19,2,19,3,18,3,17,3,16,3,15,3,14,3,14,2,14,1,13,1,12,1,11,1,10,1,9,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,31,3,30,3,29,3,29,4,28,4,27,4,26,4,25,4,24,4,24,5,23,5,22,5,21,5,21,6,20,6,19,6,18,6,18,7,17,7,17,8,16,8,16,9,15,9,14,9,14,8,14,7,14,6,13,6,12,6,12,5,11,5,11,4,10,4,10,3,10,2,9,2,8,2,8,1,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,20,2,19,2,18,2,18,1,17,1,16,1,15,1,14,1,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,23,3,22,3,21,3,20,3,20,2,19,2,18,2,17,2,16,2,16,1,16,0,15,0,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,20,2,19,2,18,2,17,2,17,1,16,1,15,1,15,0,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,36,3,35,3,34,3,33,3,32,3,32,4,31,4,31,5,30,5,30,6,29,6,28,6,27,6,27,7,26,7,25,7,25,8,24,8,23,8,23,9,22,9,21,9,20,9,20,10,19,10,19,11,19,12,19,11,19,10,18,10,18,9,18,8,18,7,18,6,18,5,18,4,17,4,16,4,15,4,14,4,14,3,14,2,14,1,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,28,3,27,3,26,3,25,3,24,3,23,3,22,3,22,4,21,4,20,4,19,4,18,4,17,4,16,4,16,5,16,6,15,6,14,6,13,6,13,7,12,7,11,7,10,7,10,6,9,6,9,5,9,4,9,3,8,3,7,3,7,2,6,2,5,2,4,2,3,2,2,2,2,1,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,30,1,29,1,28,1,27,1,26,1,25,1,24,1,23,1,22,1,21,1,20,1,19,1,18,1,17,1,16,1,15,1,14,1,13,1,12,1,11,1,10,1,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,32,3,31,3,30,3,29,3,28,3,27,3,26,3,25,3,24,3,23,3,23,4,23,5,22,5,21,5,20,5,19,5,19,6,19,7,18,7,18,8,17,8,16,8,15,8,14,8,14,7,13,7,12,7,12,6,12,5,12,4,11,4,10,4,9,4,8,4,8,3,7,3,6,3,6,2,6,1,5,1,4,1,3,1,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,34,3,33,3,32,3,31,3,31,4,30,4,30,5,29,5,28,5,28,6,28,7,28,8,27,8,27,9,27,8,27,7,26,7,26,6,25,6,24,6,23,6,22,6,22,5,21,5,21,4,21,3,20,3,19,3,18,3,17,3,16,3,16,2,16,1,15,1,14,1,13,1,12,1,11,1,10,1,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,29,3,28,3,28,4,27,4,26,4,25,4,25,5,25,6,24,6,23,6,22,6,22,7,22,8,22,9,21,9,21,10,20,10,20,11,19,11,18,11,18,12,17,12,16,12,16,11,15,11,15,10,14,10,13,10,12,10,11,10,10,10,9,10,9,9,9,8,9,7,9,6,9,5,8,5,7,5,7,4,7,3,7,2,6,2,6,1,5,1,4,1,3,1,2,1,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,34,3,33,3,32,3,31,3,31,4,30,4,29,4,28,4,28,5,27,5,26,5,25,5,24,5,24,6,23,6,22,6,21,6,20,6,20,7,19,7,18,7,17,7,17,8,16,8,15,8,15,9,14,9,14,8,13,8,12,8,12,7,12,6,11,6,11,5,11,4,10,4,9,4,8,4,8,3,7,3,7,2,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,34,3,34,4,33,4,32,4,31,4,31,5,30,5,29,5,28,5,27,5,26,5,25,5,24,5,23,5,22,5,21,5,20,5,19,5,18,5,18,4,17,4,16,4,16,3,15,3,15,2,14,2,13,2,13,1,12,1,11,1,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,32,3,31,3,30,3,29,3,28,3,27,3,26,3,25,3,24,3,23,3,22,3,22,4,22,5,21,5,20,5,19,5,18,5,18,6,17,6,16,6,15,6,15,7,14,7,13,7,12,7,11,7,11,6,11,5,10,5,9,5,9,4,8,4,7,4,6,4,6,3,5,3,5,2,5,1,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,33,3,32,3,31,3,30,3,29,3,28,3,27,3,26,3,25,3,24,3,23,3,22,3,21,3,20,3,19,3,19,2,18,2,17,2,16,2,15,2,14,2,13,2,13,1,12,1,11,1,10,1,9,1,8,1,7,1,6,1,5,1,4,1,3,1,3,0,2,0,1,0,0,0
