y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80,y_81,x_81,y_82,x_82,y_83,x_83,y_84,x_84,y_85,x_85,y_86,x_86,y_87,x_87,y_88,x_88,y_89,x_89,y_90,x_90
39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,38,26,37,26,36,26,36,25,35,25,34,25,34,24,34,23,33,23,33,22,32,22,31,22,30,22,29,22,29,21,28,21,28,20,28,19,27,19,26,19,25,19,24,19,23,19,22,19,21,19,21,18,21,17,20,17,19,17,19,16,19,15,19,14,19,13,19,12,18,12,17,12,17,11,16,11,16,10,15,10,14,10,13,10,12,10,11,10,11,9,11,8,11,7,11,6,10,6,10,5,10,4,9,4,8,4,7,4,7,3,6,3,5,3,5,2,5,1,4,1,3,1,2,1,1,1,1,0,0,0
39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,38,26,37,26,36,26,35,26,34,26,33,26,33,27,33,28,33,29,32,29,31,29,30,29,29,29,28,29,27,29,26,29,25,29,25,30,24,30,23,30,22,30,22,29,22,28,22,27,21,27,21,26,21,25,20,25,20,24,20,23,19,23,18,23,18,22,17,22,17,21,17,20,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,15,10,14,10,13,10,13,9,12,9,11,9,10,9,10,8,10,7,9,7,9,6,8,6,8,5,8,4,7,4,7,3,7,2,6,2,5,2,5,1,5,0,4,0,3,0,2,0,1,0,0,0
39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,38,26,38,25,38,24,37,24,36,24,35,24,35,23,35,22,34,22,33,22,32,22,32,21,32,20,31,20,31,19,30,19,30,18,29,18,29,17,28,17,28,16,27,16,27,15,27,14,27,13,27,12,27,11,27,10,26,10,25,10,25,9,25,8,25,7,24,7,23,7,23,6,23,5,23,4,23,3,23,2,23,1,22,1,21,1,20,1,19,1,18,1,17,1,17,0,16,0,15,0,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,38,26,37,26,36,26,35,26,34,26,33,26,32,26,31,26,30,26,29,26,29,25,29,24,29,23,28,23,27,23,26,23,26,22,25,22,24,22,24,21,24,20,24,19,23,19,22,19,21,19,21,18,21,17,21,16,20,16,19,16,19,15,19,14,18,14,17,14,17,13,17,12,17,11,16,11,16,10,15,10,14,10,13,10,13,9,12,9,12,8,11,8,11,7,11,6,10,6,10,5,10,4,9,4,9,3,8,3,7,3,7,2,7,1,6,1,5,1,5,0,4,0,3,0,2,0,1,0,0,0
39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,38,26,37,26,36,26,35,26,34,26,33,26,33,25,32,25,31,25,30,25,30,24,29,24,28,24,27,24,26,24,26,23,26,22,25,22,24,22,24,21,24,20,24,19,24,18,24,17,23,17,22,17,21,17,21,16,20,16,20,15,19,15,18,15,17,15,16,15,15,15,14,15,14,14,14,13,13,13,12,13,12,12,12,11,11,11,11,10,11,9,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,38,26,37,26,36,26,35,26,34,26,33,26,32,26,31,26,30,26,30,27,30,28,29,28,28,28,28,29,27,29,26,29,26,30,25,30,24,30,23,30,22,30,22,31,21,31,21,32,20,32,20,33,19,33,18,33,17,33,17,34,16,34,15,34,14,34,13,34,13,33,13,32,13,31,13,30,13,29,13,28,12,28,12,27,12,26,11,26,10,26,10,25,10,24,10,23,10,22,9,22,9,21,9,20,9,19,9,18,9,17,9,16,9,15,9,14,9,13,8,13,7,13,7,12,7,11,7,10,7,9,6,9,6,8,6,7,6,6,5,6,4,6,4,5,4,4,4,3,3,3,2,3,2,2,2,1,2,0,1,0,0,0
39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,38,26,37,26,36,26,35,26,34,26,33,26,32,26,31,26,31,27,30,27,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,21,28,20,28,20,29,20,30,19,30,19,31,18,31,18,32,17,32,16,32,15,32,14,32,13,32,12,32,12,33,12,32,11,32,11,31,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,23,10,22,10,21,10,20,10,19,9,19,9,18,9,17,9,16,9,15,8,15,7,15,7,14,7,13,6,13,6,12,6,11,6,10,5,10,5,9,5,8,5,7,4,7,4,6,4,5,3,5,2,5,2,4,2,3,2,2,2,1,2,0,1,0,0,0
39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,38,26,37,26,36,26,35,26,34,26,33,26,32,26,31,26,30,26,30,27,29,27,28,27,28,26,27,26,26,26,25,26,25,25,25,24,25,23,25,22,24,22,24,21,24,20,24,19,23,19,23,18,23,17,23,16,23,15,22,15,22,14,21,14,20,14,20,13,19,13,18,13,18,12,18,11,17,11,16,11,16,10,15,10,15,9,15,8,14,8,14,7,14,6,13,6,13,5,12,5,12,4,12,3,12,2,11,2,10,2,9,2,9,1,8,1,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,38,26,38,25,38,24,38,23,37,23,37,22,36,22,36,21,35,21,34,21,34,20,34,19,34,18,34,17,34,16,34,15,34,14,34,13,33,13,33,12,33,11,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,31,2,30,2,30,1,30,0,29,0,28,0,27,0,26,0,25,0,24,0,23,0,22,0,21,0,20,0,19,0,18,0,17,0,16,0,15,0,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,39,26,38,26,37,26,36,26,35,26,34,26,33,26,32,26,32,27,31,27,30,27,29,27,28,27,27,27,26,27,25,27,24,27,23,27,23,28,22,28,22,29,21,29,20,29,19,29,18,29,17,29,17,30,16,30,15,30,14,30,13,30,12,30,11,30,10,30,9,30,9,29,9,28,8,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,8,19,7,19,6,19,6,18,6,17,6,16,5,16,5,15,5,14,5,13,5,12,4,12,3,12,3,11,3,10,3,9,3,8,3,7,2,7,2,6,2,5,2,4,2,3,1,3,1,2,1,1,1,0,0,0
