y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54
39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,26,5,25,5,24,5,23,5,22,5,21,5,20,5,19,5,18,5,17,5,17,4,17,3,17,2,17,1,16,1,16,0,15,0,14,0,13,0,12,0,12,1,12,2,11,2,10,2,9,2,8,2,7,2,6,2,5,2,5,3,5,4,5,5,5,6,4,6,4,7,3,7,3,8,2,8,1,8,0,8
39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,30,7,30,8,29,8,29,9,29,10,28,10,28,11,28,12,28,13,27,13,26,13,26,14,26,13,26,12,25,12,25,11,25,10,24,10,23,10,22,10,21,10,20,10,19,10,19,9,18,9,17,9,16,9,15,9,14,9,13,9,12,9,11,9,10,9,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,32,7,31,7,30,7,29,7,28,7,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,38,6,37,6,37,7,36,7,36,8,35,8,34,8,33,8,32,8,31,8,31,9,30,9,29,9,28,9,27,9,26,9,26,10,25,10,24,10,23,10,22,10,21,10,20,10,19,10,19,11,18,11,18,12,18,13,17,13,17,14,16,14,15,14,14,14,13,14,13,13,13,12,13,11,13,10,12,10,11,10,11,9,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,35,5,34,5,33,5,32,5,31,5,31,4,31,5,31,6,30,6,29,6,28,6,28,7,27,7,26,7,25,7,24,7,23,7,22,7,21,7,20,7,19,7,18,7,17,7,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,24,6,23,6,22,6,21,6,20,6,19,6,18,6,18,7,17,7,16,7,15,7,14,7,13,7,12,7,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,24,6,23,6,22,6,21,6,20,6,19,6,18,6,17,6,17,7,16,7,15,7,14,7,13,7,12,7,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,25,5,24,5,23,5,22,5,21,5,20,5,19,5,18,5,17,5,16,5,15,5,15,4,14,4,13,4,12,4,11,4,11,5,10,5,9,5,8,5,7,5,6,5,6,6,5,6,4,6,3,6,2,6,1,6,1,7,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,37,5,36,5,35,5,35,4,35,3,34,3,33,3,32,3,31,3,31,4,30,4,30,5,29,5,28,5,27,5,26,5,25,5,24,5,23,5,22,5,22,6,21,6,21,7,20,7,19,7,18,7,17,7,16,7,15,7,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,25,7,24,7,23,7,22,7,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
