y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,36,5,35,5,35,6,34,6,33,6,32,6,32,7,31,7,31,8,31,9,30,9,29,9,29,10,29,11,29,12,28,12,27,12,26,12,26,13,25,13,24,13,23,13,23,14,22,14,21,14,21,15,20,15,20,16,20,17,19,17,18,17,17,17,16,17,15,17,14,17,13,17,13,18,12,18,11,18,10,18,10,19,9,19,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,38,5,37,5,37,6,36,6,35,6,34,6,33,6,33,7,33,8,33,9,32,9,31,9,31,10,30,10,29,10,28,10,27,10,26,10,26,11,26,12,25,12,25,13,24,13,24,14,23,14,23,15,23,16,22,16,21,16,20,16,20,17,19,17,18,17,17,17,16,17,16,18,15,18,14,18,13,18,13,19,12,19,11,19,10,19,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,33,5,32,5,31,5,30,5,30,6,30,7,30,8,29,8,29,9,29,10,28,10,28,11,27,11,26,11,26,12,25,12,24,12,23,12,22,12,21,12,21,13,20,13,19,13,18,13,18,14,17,14,16,14,16,15,16,16,15,16,14,16,14,17,14,18,14,19,13,19,12,19,11,19,10,19,9,19,8,19,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,30,4,29,4,28,4,28,5,27,5,26,5,26,6,25,6,24,6,23,6,22,6,21,6,20,6,19,6,18,6,17,6,16,6,16,7,15,7,14,7,13,7,13,8,12,8,11,8,10,8,10,9,10,10,10,11,10,12,9,12,9,13,9,14,9,15,8,15,7,15,6,15,6,16,6,17,6,18,6,19,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,33,3,32,3,31,3,30,3,29,3,28,3,27,3,26,3,25,3,24,3,23,3,22,3,21,3,20,3,19,3,18,3,18,2,17,2,16,2,15,2,14,2,13,2,12,2,11,2,10,2,9,2,9,3,9,4,9,5,9,6,9,7,9,8,9,9,9,10,8,10,8,11,8,12,7,12,7,13,7,14,7,15,7,16,7,17,7,18,6,18,5,18,5,19,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,30,4,29,4,28,4,28,5,28,6,28,7,28,8,27,8,26,8,25,8,24,8,23,8,22,8,22,9,22,10,21,10,20,10,19,10,18,10,18,11,17,11,17,12,17,13,16,13,15,13,15,14,14,14,13,14,13,15,13,16,13,17,13,18,12,18,12,19,12,20,12,21,12,22,11,22,10,22,9,22,8,22,8,21,7,21,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,37,5,36,5,36,6,36,7,36,8,36,9,35,9,34,9,33,9,33,10,33,11,33,12,33,13,33,14,32,14,32,15,32,16,32,17,32,18,32,19,32,20,32,21,32,22,31,22,31,23,31,24,30,24,29,24,29,25,29,26,29,25,29,24,28,24,27,24,27,23,26,23,25,23,24,23,23,23,23,22,22,22,21,22,20,22,19,22,18,22,17,22,17,21,16,21,15,21,14,21,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,35,5,35,6,35,7,35,8,34,8,34,9,33,9,32,9,32,10,32,11,31,11,30,11,29,11,29,12,29,13,28,13,27,13,26,13,25,13,24,13,23,13,22,13,22,14,22,15,21,15,20,15,20,16,20,17,20,18,19,18,19,19,18,19,17,19,16,19,15,19,15,20,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,30,4,30,3,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,23,3,22,3,22,4,21,4,21,5,20,5,20,6,20,7,20,8,20,9,20,10,20,11,20,12,20,13,19,13,18,13,17,13,16,13,16,14,15,14,14,14,14,15,14,16,14,17,14,18,13,18,12,18,11,18,10,18,9,18,8,18,7,18,6,18,5,18,5,19,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,34,5,34,6,33,6,32,6,32,7,32,8,31,8,30,8,30,9,30,10,30,11,29,11,29,12,29,13,29,14,29,15,29,16,28,16,28,17,27,17,27,18,26,18,26,19,26,20,26,21,26,22,26,21,25,21,24,21,23,21,22,21,21,21,20,21,19,21,18,21,17,21,16,21,15,21,14,21,13,21,12,21,11,21,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,36,5,35,5,34,5,34,6,34,7,34,8,34,9,33,9,33,10,33,11,32,11,32,12,32,13,31,13,31,14,31,15,31,16,30,16,30,17,30,18,29,18,28,18,27,18,27,19,27,20,27,21,26,21,26,22,26,23,25,23,24,23,24,22,23,22,22,22,21,22,20,22,19,22,18,22,17,22,16,22,15,22,14,22,13,22,12,22,11,22,11,21,10,21,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
