y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,36,21,35,21,35,20,35,19,34,19,33,19,32,19,31,19,30,19,30,18,29,18,28,18,27,18,26,18,26,17,26,16,26,15,25,15,25,14,24,14,23,14,22,14,22,13,22,12,21,12,21,11,21,10,20,10,20,9,20,8,20,7,20,6,19,6,18,6,17,6,16,6,15,6,14,6,14,5,13,5,13,4,12,4,12,3,11,3,10,3,9,3,8,3,7,3,7,2,6,2,6,1,5,1,4,1,4,0,3,0,2,0,1,0,0,0
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,29,22,28,22,27,22,27,21,26,21,25,21,25,20,25,19,24,19,24,18,23,18,23,17,22,17,21,17,21,16,21,15,20,15,20,14,20,13,20,12,19,12,19,11,18,11,18,10,18,9,18,8,17,8,16,8,15,8,14,8,14,7,14,6,14,5,14,4,13,4,12,4,11,4,10,4,10,3,10,2,9,2,8,2,7,2,7,1,6,1,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,29,22,29,21,28,21,27,21,26,21,25,21,24,21,23,21,22,21,22,20,21,20,20,20,20,19,19,19,18,19,18,18,18,17,17,17,17,16,16,16,16,15,15,15,14,15,13,15,12,15,11,15,10,15,9,15,9,14,9,13,9,12,9,11,9,10,8,10,7,10,7,9,6,9,6,8,6,7,5,7,5,6,5,5,4,5,3,5,3,4,3,3,3,2,2,2,2,1,2,0,1,0,0,0
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,32,21,31,21,30,21,29,21,29,20,29,19,28,19,27,19,27,18,27,17,27,16,26,16,25,16,24,16,24,15,23,15,23,14,22,14,21,14,20,14,20,13,19,13,18,13,18,12,18,11,18,10,17,10,16,10,16,9,16,8,16,7,15,7,15,6,14,6,13,6,12,6,12,5,11,5,10,5,10,4,10,3,9,3,8,3,8,2,8,1,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,31,23,30,23,29,23,28,23,28,24,27,24,27,25,26,25,26,24,26,23,25,23,25,22,25,21,24,21,24,20,23,20,23,19,23,18,23,17,23,16,22,16,21,16,20,16,19,16,18,16,18,15,18,14,18,13,18,12,18,11,17,11,16,11,15,11,14,11,14,10,14,9,14,8,14,7,13,7,12,7,12,6,12,5,12,4,12,3,11,3,10,3,10,2,9,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,2,1,1,1,1,0,0,0
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,32,21,31,21,30,21,29,21,28,21,27,21,26,21,26,20,25,20,24,20,24,19,23,19,23,18,22,18,22,17,22,16,22,15,21,15,21,14,20,14,20,13,20,12,20,11,20,10,19,10,19,9,19,8,18,8,18,7,17,7,17,6,16,6,15,6,15,5,15,4,14,4,13,4,12,4,12,3,11,3,11,2,10,2,9,2,8,2,7,2,7,1,6,1,5,1,4,1,4,0,3,0,2,0,1,0,0,0
39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,33,23,32,23,31,23,30,23,29,23,28,23,27,23,26,23,25,23,24,23,23,23,22,23,22,24,22,25,21,25,20,25,19,25,18,25,18,26,17,26,16,26,16,25,16,24,15,24,14,24,13,24,13,23,13,22,12,22,12,21,12,20,12,19,12,18,11,18,11,17,11,16,11,15,11,14,11,13,11,12,11,11,11,10,10,10,9,10,8,10,8,9,7,9,6,9,6,8,6,7,5,7,5,6,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,30,21,29,21,28,21,27,21,26,21,26,20,25,20,24,20,23,20,23,19,22,19,21,19,20,19,20,18,20,17,19,17,19,16,18,16,17,16,17,15,17,14,16,14,16,13,16,12,15,12,14,12,14,11,14,10,14,9,14,8,13,8,13,7,13,6,13,5,12,5,12,4,11,4,11,3,10,3,10,2,9,2,8,2,8,1,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,29,22,28,22,27,22,26,22,25,22,24,22,23,22,22,22,22,21,22,20,21,20,21,19,21,18,21,17,20,17,20,16,20,15,20,14,19,14,18,14,18,13,18,12,18,11,18,10,17,10,16,10,15,10,14,10,14,9,13,9,12,9,12,8,12,7,12,6,12,5,12,4,11,4,10,4,9,4,8,4,7,4,6,4,6,3,5,3,5,2,4,2,3,2,3,1,3,0,2,0,1,0,0,0
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,38,21,38,20,38,19,37,19,36,19,35,19,35,18,34,18,33,18,33,17,33,16,33,15,32,15,32,14,31,14,31,13,31,12,31,11,31,10,31,9,31,8,30,8,30,7,29,7,28,7,27,7,27,6,26,6,26,5,25,5,25,4,24,4,23,4,22,4,21,4,20,4,19,4,19,3,18,3,18,2,17,2,16,2,15,2,14,2,13,2,12,2,12,1,11,1,10,1,9,1,8,1,7,1,6,1,6,0,5,0,4,0,3,0,2,0,1,0,0,0
