y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,37,24,36,24,35,24,34,24,34,25,34,26,33,26,32,26,31,26,30,26,29,26,29,27,28,27,27,27,26,27,25,27,24,27,24,28,23,28,23,29,23,30,22,30,21,30,21,31,21,32,20,32,20,33,20,34,19,34,18,34,17,34,16,34,15,34,15,35,14,35,13,35,13,34,12,34,12,33,11,33,10,33,9,33,8,33,7,33,6,33,5,33,5,32,4,32,3,32,2,32,1,32,0,32
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,37,24,36,24,35,24,34,24,33,24,32,24,31,24,30,24,30,23,30,22,29,22,28,22,27,22,26,22,25,22,25,21,24,21,23,21,22,21,21,21,20,21,19,21,18,21,18,20,17,20,17,19,16,19,15,19,14,19,14,18,13,18,12,18,11,18,11,19,11,20,10,20,9,20,9,21,9,22,9,23,9,24,8,24,8,25,7,25,7,26,6,26,6,27,6,28,5,28,5,29,5,30,4,30,3,30,2,30,2,31,2,32,1,32,0,32
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,38,25,38,26,37,26,36,26,35,26,34,26,34,27,33,27,33,28,33,29,33,30,32,30,32,31,32,32,31,32,31,33,30,33,30,34,30,35,29,35,28,35,27,35,26,35,26,34,25,34,24,34,23,34,23,33,22,33,21,33,20,33,19,33,18,33,17,33,16,33,15,33,14,33,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,37,24,36,24,35,24,35,25,34,25,33,25,32,25,32,26,31,26,30,26,29,26,28,26,27,26,26,26,26,27,25,27,24,27,24,28,23,28,22,28,21,28,20,28,19,28,19,29,18,29,17,29,16,29,15,29,14,29,14,30,13,30,13,31,12,31,11,31,10,31,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,37,24,36,24,35,24,34,24,33,24,32,24,31,24,30,24,30,25,29,25,28,25,27,25,27,26,26,26,26,27,25,27,25,28,25,29,24,29,23,29,22,29,22,30,22,31,21,31,21,32,20,32,19,32,18,32,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,24,39,24,38,24,37,24,36,24,35,24,34,24,33,24,33,23,32,23,31,23,31,22,31,21,30,21,30,20,30,19,29,19,28,19,27,19,26,19,25,19,24,19,23,19,22,19,22,18,22,17,21,17,20,17,19,17,18,17,17,17,17,16,17,15,17,14,17,13,17,14,17,15,16,15,15,15,15,16,15,17,15,18,15,19,14,19,14,20,14,21,14,22,14,23,13,23,13,24,13,25,12,25,11,25,11,26,11,27,10,27,9,27,8,27,7,27,6,27,6,28,5,28,5,29,4,29,4,30,4,31,3,31,2,31,2,32,1,32,0,32
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,37,24,36,24,35,24,34,24,33,24,32,24,31,24,30,24,29,24,29,25,28,25,28,26,28,27,27,27,27,28,27,29,26,29,25,29,24,29,23,29,22,29,21,29,20,29,19,29,18,29,17,29,17,30,16,30,16,31,16,32,16,33,16,34,16,35,16,36,15,36,15,37,15,38,14,38,14,37,14,36,13,36,12,36,11,36,10,36,10,35,9,35,9,34,9,33,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,37,24,36,24,35,24,34,24,33,24,32,24,31,24,30,24,29,24,28,24,27,24,26,24,25,24,24,24,23,24,22,24,21,24,21,25,21,26,21,27,20,27,19,27,18,27,18,28,17,28,16,28,15,28,15,29,14,29,13,29,12,29,11,29,10,29,9,29,8,29,8,30,7,30,6,30,5,30,4,30,4,31,4,32,3,32,2,32,1,32,0,32
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,37,24,37,25,36,25,35,25,34,25,34,26,34,27,34,28,34,29,34,30,34,31,33,31,32,31,32,32,32,33,31,33,30,33,29,33,29,34,28,34,28,35,28,36,27,36,26,36,25,36,24,36,24,37,23,37,22,37,22,38,21,38,20,38,20,39,19,39,18,39,18,38,17,38,16,38,16,37,15,37,14,37,14,36,13,36,13,35,12,35,11,35,10,35,10,34,10,33,9,33,8,33,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,37,24,36,24,35,24,34,24,33,24,33,23,32,23,31,23,31,22,30,22,29,22,29,21,28,21,28,20,27,20,27,19,26,19,26,18,26,17,25,17,25,16,24,16,23,16,22,16,22,17,21,17,20,17,19,17,18,17,18,18,18,19,18,20,18,21,18,22,17,22,17,23,16,23,16,24,15,24,15,25,14,25,13,25,13,26,13,27,12,27,11,27,10,27,10,28,9,28,9,29,8,29,7,29,7,30,6,30,5,30,4,30,4,31,4,32,3,32,2,32,1,32,0,32
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,37,24,36,24,35,24,34,24,33,24,33,25,32,25,31,25,30,25,30,26,30,27,29,27,28,27,27,27,26,27,25,27,24,27,24,28,24,29,23,29,23,30,23,31,23,32,22,32,22,33,21,33,20,33,19,33,18,33,17,33,16,33,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,37,24,36,24,35,24,34,24,33,24,32,24,31,24,31,25,30,25,29,25,28,25,28,26,27,26,27,27,26,27,25,27,24,27,24,28,24,29,24,30,23,30,23,31,22,31,21,31,20,31,19,31,19,32,18,32,18,33,18,34,17,34,17,35,16,35,16,36,16,37,16,38,15,38,15,37,15,36,15,35,14,35,13,35,13,34,12,34,11,34,11,33,10,33,9,33,8,33,7,33,6,33,5,33,4,33,4,32,3,32,2,32,1,32,0,32
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,38,23,37,23,36,23,35,23,34,23,33,23,32,23,31,23,30,23,29,23,28,23,27,23,27,22,26,22,26,21,26,20,25,20,25,19,24,19,23,19,22,19,21,19,21,18,20,18,20,17,19,17,18,17,18,16,18,17,18,18,17,18,16,18,15,18,15,19,15,20,14,20,14,21,14,22,13,22,13,23,12,23,12,24,11,24,11,25,11,26,11,27,10,27,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,3,29,3,30,2,30,1,30,1,31,1,32,0,32
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,37,24,36,24,36,25,36,26,36,27,36,28,36,29,35,29,34,29,33,29,32,29,31,29,31,30,30,30,30,31,30,32,29,32,29,33,28,33,28,34,27,34,26,34,25,34,24,34,23,34,22,34,21,34,20,34,19,34,18,34,17,34,17,33,16,33,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,39,24,38,24,37,24,36,24,35,24,34,24,33,24,32,24,31,24,31,25,31,26,30,26,29,26,28,26,27,26,26,26,25,26,25,27,25,28,25,29,25,30,24,30,24,31,24,32,23,32,23,33,23,34,22,34,22,35,22,36,22,37,22,36,21,36,20,36,20,35,19,35,19,34,18,34,17,34,16,34,15,34,14,34,13,34,12,34,11,34,10,34,9,34,8,34,7,34,6,34,5,34,5,33,5,32,4,32,3,32,2,32,1,32,0,32
