deviation_factor,midpoint
1.09,"(28, 26)"
1.09,"(28, 36)"
1.09,"(29, 26)"
1.09,"(29, 36)"
1.09,"(30, 26)"
1.09,"(30, 36)"
1.09,"(31, 26)"
1.09,"(31, 36)"
1.13,"(9, 25)"
1.13,"(9, 37)"
1.13,"(10, 25)"
1.13,"(10, 37)"
1.13,"(11, 25)"
1.13,"(11, 37)"
1.13,"(12, 25)"
1.13,"(12, 37)"
1.13,"(13, 25)"
1.13,"(13, 37)"
1.13,"(14, 25)"
1.13,"(14, 37)"
1.13,"(15, 25)"
1.13,"(15, 37)"
1.13,"(16, 25)"
1.13,"(16, 37)"
1.13,"(17, 25)"
1.13,"(17, 37)"
1.13,"(18, 25)"
1.13,"(18, 37)"
1.13,"(19, 25)"
1.13,"(19, 37)"
1.13,"(20, 25)"
1.13,"(20, 37)"
1.13,"(21, 25)"
1.13,"(21, 37)"
1.13,"(22, 25)"
1.13,"(22, 37)"
1.13,"(23, 25)"
1.13,"(23, 37)"
1.13,"(24, 25)"
1.13,"(24, 37)"
1.13,"(25, 25)"
1.13,"(25, 37)"
1.13,"(26, 25)"
1.13,"(26, 37)"
1.13,"(27, 25)"
1.13,"(27, 37)"
1.13,"(28, 25)"
1.13,"(28, 37)"
1.13,"(29, 25)"
1.13,"(29, 37)"
1.13,"(30, 25)"
1.13,"(30, 37)"
1.13,"(31, 25)"
1.13,"(31, 37)"
1.18,"(9, 24)"
1.18,"(9, 38)"
1.18,"(10, 24)"
1.18,"(10, 38)"
1.18,"(11, 24)"
1.18,"(11, 38)"
1.18,"(12, 24)"
1.18,"(12, 38)"
1.18,"(13, 24)"
1.18,"(13, 38)"
1.18,"(14, 24)"
1.18,"(14, 38)"
1.18,"(15, 24)"
1.18,"(15, 38)"
1.18,"(16, 24)"
1.18,"(16, 38)"
1.18,"(17, 24)"
1.18,"(17, 38)"
1.18,"(18, 24)"
1.18,"(18, 38)"
1.18,"(19, 24)"
1.18,"(19, 38)"
1.18,"(20, 24)"
1.18,"(20, 38)"
1.18,"(21, 24)"
1.18,"(21, 38)"
1.18,"(22, 24)"
1.18,"(22, 38)"
1.18,"(23, 24)"
1.18,"(23, 38)"
1.18,"(24, 24)"
1.18,"(24, 38)"
1.18,"(25, 24)"
1.18,"(25, 38)"
1.18,"(26, 24)"
1.18,"(26, 38)"
1.18,"(27, 24)"
1.18,"(27, 38)"
1.18,"(28, 24)"
1.18,"(28, 38)"
1.18,"(29, 24)"
1.18,"(29, 38)"
1.18,"(30, 24)"
1.18,"(30, 38)"
1.18,"(31, 24)"
1.18,"(31, 38)"
1.22,"(9, 23)"
1.22,"(9, 39)"
1.22,"(10, 23)"
1.22,"(10, 39)"
1.22,"(11, 23)"
1.22,"(11, 39)"
1.22,"(12, 23)"
1.22,"(12, 39)"
1.22,"(13, 23)"
1.22,"(13, 39)"
1.22,"(14, 23)"
1.22,"(14, 39)"
1.22,"(15, 23)"
1.22,"(15, 39)"
1.22,"(16, 23)"
1.22,"(16, 39)"
1.22,"(17, 23)"
1.22,"(17, 39)"
1.22,"(18, 23)"
1.22,"(18, 39)"
1.22,"(19, 23)"
1.22,"(19, 39)"
1.22,"(20, 23)"
1.22,"(20, 39)"
1.22,"(21, 23)"
1.22,"(21, 39)"
1.22,"(22, 23)"
1.22,"(22, 39)"
1.22,"(23, 23)"
1.22,"(23, 39)"
1.22,"(24, 23)"
1.22,"(24, 39)"
1.22,"(25, 23)"
1.22,"(25, 39)"
1.22,"(26, 23)"
1.22,"(26, 39)"
1.22,"(27, 23)"
1.22,"(27, 39)"
1.22,"(28, 23)"
1.22,"(28, 39)"
