deviation_factor,midpoint
1.0,"(9, 32)"
1.0,"(9, 33)"
1.0,"(9, 34)"
1.0,"(10, 32)"
1.0,"(10, 33)"
1.0,"(10, 34)"
1.0,"(11, 32)"
1.0,"(11, 33)"
1.0,"(11, 34)"
1.0,"(12, 32)"
1.0,"(12, 33)"
1.0,"(12, 34)"
1.0,"(13, 32)"
1.0,"(13, 33)"
1.0,"(13, 34)"
1.0,"(14, 32)"
1.0,"(14, 33)"
1.0,"(14, 34)"
1.0,"(15, 32)"
1.0,"(15, 33)"
1.0,"(15, 34)"
1.0,"(16, 32)"
1.0,"(16, 33)"
1.0,"(16, 34)"
1.0,"(17, 32)"
1.0,"(17, 33)"
1.0,"(17, 34)"
1.0,"(18, 32)"
1.0,"(18, 33)"
1.0,"(18, 34)"
1.0,"(19, 32)"
1.0,"(19, 33)"
1.0,"(19, 34)"
1.0,"(20, 32)"
1.0,"(20, 33)"
1.0,"(20, 34)"
1.0,"(21, 32)"
1.0,"(21, 33)"
1.0,"(21, 34)"
1.0,"(22, 32)"
1.0,"(22, 33)"
1.0,"(22, 34)"
1.0,"(23, 32)"
1.0,"(23, 33)"
1.0,"(23, 34)"
1.0,"(24, 32)"
1.0,"(24, 33)"
1.0,"(24, 34)"
1.0,"(25, 32)"
1.0,"(25, 33)"
1.0,"(25, 34)"
1.0,"(26, 32)"
1.0,"(26, 33)"
1.0,"(26, 34)"
1.0,"(27, 32)"
1.0,"(27, 33)"
1.0,"(27, 34)"
1.0,"(28, 32)"
1.0,"(28, 33)"
1.0,"(28, 34)"
1.0,"(29, 32)"
1.0,"(29, 33)"
1.0,"(29, 34)"
1.0,"(30, 32)"
1.0,"(30, 33)"
1.0,"(30, 34)"
1.0,"(31, 32)"
1.0,"(31, 33)"
1.0,"(31, 34)"
1.05,"(9, 31)"
1.05,"(9, 35)"
1.05,"(10, 31)"
1.05,"(10, 35)"
1.05,"(11, 31)"
1.05,"(11, 35)"
1.05,"(12, 31)"
1.05,"(12, 35)"
1.05,"(13, 31)"
1.05,"(13, 35)"
1.05,"(14, 31)"
1.05,"(14, 35)"
1.05,"(15, 31)"
1.05,"(15, 35)"
1.05,"(16, 31)"
1.05,"(16, 35)"
1.05,"(17, 31)"
1.05,"(17, 35)"
1.05,"(18, 31)"
1.05,"(18, 35)"
1.05,"(19, 31)"
1.05,"(19, 35)"
1.05,"(20, 31)"
1.05,"(20, 35)"
1.05,"(21, 31)"
1.05,"(21, 35)"
1.05,"(22, 31)"
1.05,"(22, 35)"
1.05,"(23, 31)"
1.05,"(23, 35)"
1.05,"(24, 31)"
1.05,"(24, 35)"
1.05,"(25, 31)"
1.05,"(25, 35)"
1.05,"(26, 31)"
1.05,"(26, 35)"
1.05,"(27, 31)"
1.05,"(27, 35)"
1.05,"(28, 31)"
1.05,"(28, 35)"
1.05,"(29, 31)"
1.05,"(29, 35)"
1.05,"(30, 31)"
1.05,"(30, 35)"
1.05,"(31, 31)"
1.05,"(31, 35)"
1.1,"(9, 30)"
1.1,"(9, 36)"
1.1,"(10, 30)"
1.1,"(10, 36)"
1.1,"(11, 30)"
1.1,"(11, 36)"
1.1,"(12, 30)"
1.1,"(12, 36)"
1.1,"(13, 30)"
1.1,"(13, 36)"
1.1,"(14, 30)"
1.1,"(14, 36)"
1.1,"(15, 30)"
1.1,"(15, 36)"
1.1,"(16, 30)"
1.1,"(16, 36)"
1.1,"(17, 30)"
1.1,"(17, 36)"
1.1,"(18, 30)"
1.1,"(18, 36)"
1.1,"(19, 30)"
1.1,"(19, 36)"
1.1,"(20, 30)"
1.1,"(20, 36)"
1.1,"(21, 30)"
1.1,"(21, 36)"
1.1,"(22, 30)"
1.1,"(22, 36)"
1.1,"(23, 30)"
1.1,"(23, 36)"
1.1,"(24, 30)"
1.1,"(24, 36)"
1.1,"(25, 30)"
1.1,"(25, 36)"
1.1,"(26, 30)"
1.1,"(26, 36)"
1.1,"(27, 30)"
1.1,"(27, 36)"
1.1,"(28, 30)"
1.1,"(28, 36)"
1.1,"(29, 30)"
1.1,"(29, 36)"
1.1,"(30, 30)"
1.1,"(30, 36)"
1.1,"(31, 30)"
1.1,"(31, 36)"
1.15,"(9, 29)"
1.15,"(9, 37)"
1.15,"(10, 29)"
1.15,"(10, 37)"
1.15,"(11, 29)"
1.15,"(11, 37)"
1.15,"(12, 29)"
1.15,"(12, 37)"
1.15,"(13, 29)"
1.15,"(13, 37)"
1.15,"(14, 29)"
1.15,"(14, 37)"
1.15,"(15, 29)"
1.15,"(15, 37)"
1.15,"(16, 29)"
1.15,"(16, 37)"
1.15,"(17, 29)"
1.15,"(17, 37)"
1.15,"(18, 29)"
1.15,"(18, 37)"
1.15,"(19, 29)"
1.15,"(19, 37)"
1.15,"(20, 29)"
1.15,"(20, 37)"
1.15,"(21, 29)"
1.15,"(21, 37)"
1.15,"(22, 29)"
1.15,"(22, 37)"
1.15,"(23, 29)"
1.15,"(23, 37)"
1.15,"(24, 29)"
1.15,"(24, 37)"
1.15,"(25, 29)"
1.15,"(25, 37)"
1.15,"(26, 29)"
1.15,"(26, 37)"
1.15,"(27, 29)"
1.15,"(27, 37)"
1.15,"(28, 29)"
1.15,"(28, 37)"
1.15,"(29, 29)"
1.15,"(29, 37)"
1.15,"(30, 29)"
1.15,"(30, 37)"
1.15,"(31, 29)"
1.15,"(31, 37)"
1.2,"(9, 28)"
1.2,"(9, 38)"
1.2,"(10, 28)"
1.2,"(10, 38)"
1.2,"(11, 28)"
1.2,"(11, 38)"
1.2,"(12, 28)"
1.2,"(12, 38)"
1.2,"(13, 28)"
1.2,"(13, 38)"
1.2,"(14, 28)"
1.2,"(14, 38)"
1.2,"(15, 28)"
1.2,"(15, 38)"
1.2,"(16, 28)"
1.2,"(16, 38)"
1.2,"(17, 28)"
1.2,"(17, 38)"
1.2,"(18, 28)"
1.2,"(18, 38)"
1.2,"(19, 28)"
1.2,"(19, 38)"
1.2,"(20, 28)"
1.2,"(20, 38)"
1.2,"(21, 28)"
1.2,"(21, 38)"
1.2,"(22, 28)"
1.2,"(22, 38)"
1.2,"(23, 28)"
1.2,"(23, 38)"
1.2,"(24, 28)"
1.2,"(24, 38)"
1.2,"(25, 28)"
1.2,"(25, 38)"
1.2,"(26, 28)"
1.2,"(26, 38)"
1.2,"(27, 28)"
1.2,"(27, 38)"
1.2,"(28, 28)"
1.2,"(28, 38)"
1.2,"(29, 28)"
1.2,"(29, 38)"
1.2,"(30, 28)"
1.2,"(30, 38)"
1.2,"(31, 28)"
1.2,"(31, 38)"
1.24,"(9, 27)"
1.24,"(9, 39)"
1.24,"(10, 27)"
1.24,"(10, 39)"
1.24,"(11, 27)"
1.24,"(11, 39)"
1.24,"(12, 27)"
1.24,"(12, 39)"
1.24,"(13, 27)"
1.24,"(13, 39)"
1.24,"(14, 27)"
1.24,"(14, 39)"
1.24,"(15, 27)"
1.24,"(15, 39)"
1.24,"(16, 27)"
1.24,"(16, 39)"
1.24,"(17, 27)"
1.24,"(17, 39)"
1.24,"(18, 27)"
1.24,"(18, 39)"
1.24,"(19, 27)"
1.24,"(19, 39)"
1.24,"(20, 27)"
1.24,"(20, 39)"
1.24,"(21, 27)"
1.24,"(21, 39)"
1.24,"(22, 27)"
1.24,"(22, 39)"
1.24,"(23, 27)"
1.24,"(23, 39)"
1.24,"(24, 27)"
1.24,"(24, 39)"
1.24,"(25, 27)"
1.24,"(25, 39)"
1.24,"(26, 27)"
1.24,"(26, 39)"
1.24,"(27, 27)"
1.24,"(27, 39)"
1.24,"(28, 27)"
1.24,"(28, 39)"
1.24,"(29, 27)"
1.24,"(29, 39)"
1.24,"(30, 27)"
1.24,"(30, 39)"
1.24,"(31, 27)"
1.24,"(31, 39)"
1.29,"(9, 26)"
1.29,"(10, 26)"
1.29,"(11, 26)"
1.29,"(12, 26)"
1.29,"(13, 26)"
1.29,"(14, 26)"
1.29,"(15, 26)"
1.29,"(16, 26)"
1.29,"(17, 26)"
1.29,"(18, 26)"
1.29,"(19, 26)"
1.29,"(20, 26)"
1.29,"(21, 26)"
1.29,"(22, 26)"
1.29,"(23, 26)"
1.29,"(24, 26)"
1.29,"(25, 26)"
1.29,"(26, 26)"
1.29,"(27, 26)"
1.29,"(28, 26)"
1.29,"(29, 26)"
1.29,"(30, 26)"
1.29,"(31, 26)"
1.34,"(9, 25)"
1.34,"(10, 25)"
1.34,"(11, 25)"
1.34,"(12, 25)"
1.34,"(13, 25)"
1.34,"(14, 25)"
1.34,"(15, 25)"
1.34,"(16, 25)"
1.34,"(17, 25)"
1.34,"(18, 25)"
1.34,"(19, 25)"
1.34,"(20, 25)"
1.34,"(21, 25)"
1.34,"(22, 25)"
1.34,"(23, 25)"
1.34,"(24, 25)"
1.34,"(25, 25)"
1.34,"(26, 25)"
1.34,"(27, 25)"
1.34,"(28, 25)"
1.34,"(29, 25)"
1.34,"(30, 25)"
1.34,"(31, 25)"
1.39,"(9, 24)"
1.39,"(10, 24)"
1.39,"(11, 24)"
1.39,"(12, 24)"
1.39,"(13, 24)"
1.39,"(14, 24)"
1.39,"(15, 24)"
1.39,"(16, 24)"
1.39,"(17, 24)"
1.39,"(18, 24)"
1.39,"(19, 24)"
1.39,"(20, 24)"
1.39,"(21, 24)"
1.39,"(22, 24)"
1.39,"(23, 24)"
1.39,"(24, 24)"
1.39,"(25, 24)"
1.39,"(26, 24)"
1.39,"(27, 24)"
1.39,"(28, 24)"
1.39,"(29, 24)"
1.39,"(30, 24)"
1.39,"(31, 24)"
1.44,"(9, 23)"
1.44,"(10, 23)"
1.44,"(11, 23)"
1.44,"(12, 23)"
1.44,"(13, 23)"
1.44,"(14, 23)"
1.44,"(15, 23)"
