deviation_factor,midpoint
1.0,"(3, 2)"
1.0,"(3, 3)"
1.0,"(3, 4)"
1.0,"(4, 2)"
1.0,"(4, 3)"
1.0,"(4, 4)"
1.0,"(5, 2)"
1.0,"(5, 3)"
1.0,"(5, 4)"
1.0,"(6, 2)"
1.0,"(6, 3)"
1.0,"(6, 4)"
1.0,"(7, 2)"
1.0,"(7, 3)"
1.0,"(7, 4)"
1.18,"(3, 1)"
1.18,"(3, 5)"
1.18,"(4, 1)"
1.18,"(4, 5)"
1.18,"(5, 1)"
1.18,"(5, 5)"
1.18,"(6, 1)"
1.18,"(6, 5)"
1.18,"(7, 1)"
1.18,"(7, 5)"
1.36,"(3, 0)"
1.36,"(3, 6)"
1.36,"(4, 0)"
1.36,"(4, 6)"
1.36,"(5, 0)"
1.36,"(5, 6)"
1.36,"(6, 0)"
1.36,"(6, 6)"
1.36,"(7, 0)"
1.36,"(7, 6)"
1.55,"(3, 7)"
1.55,"(4, 7)"
1.55,"(5, 7)"
1.55,"(6, 7)"
1.55,"(7, 7)"
