deviation_factor,midpoint
1.0,"(5, 2)"
1.0,"(5, 3)"
1.0,"(5, 4)"
1.0,"(5, 5)"
1.0,"(5, 6)"
1.0,"(5, 7)"
1.0,"(5, 8)"
1.0,"(5, 9)"
1.0,"(5, 10)"
1.0,"(6, 2)"
1.0,"(6, 3)"
1.0,"(6, 4)"
1.0,"(6, 5)"
1.0,"(6, 6)"
1.0,"(6, 7)"
1.0,"(6, 8)"
1.0,"(6, 9)"
1.0,"(6, 10)"
1.0,"(7, 2)"
1.0,"(7, 3)"
1.0,"(7, 4)"
1.0,"(7, 5)"
1.0,"(7, 6)"
1.0,"(7, 7)"
1.0,"(7, 8)"
1.0,"(7, 9)"
1.0,"(7, 10)"
1.0,"(8, 2)"
1.0,"(8, 3)"
1.0,"(8, 4)"
1.0,"(8, 5)"
1.0,"(8, 6)"
1.0,"(8, 7)"
1.0,"(8, 8)"
1.0,"(8, 9)"
1.0,"(8, 10)"
1.0,"(9, 2)"
1.0,"(9, 3)"
1.0,"(9, 4)"
1.0,"(9, 5)"
1.0,"(9, 6)"
1.0,"(9, 7)"
1.0,"(9, 8)"
1.0,"(9, 9)"
1.0,"(9, 10)"
1.0,"(10, 2)"
1.0,"(10, 3)"
1.0,"(10, 4)"
1.0,"(10, 5)"
1.0,"(10, 6)"
1.0,"(10, 7)"
1.0,"(10, 8)"
1.0,"(10, 9)"
1.0,"(10, 10)"
1.0,"(11, 2)"
1.0,"(11, 3)"
1.0,"(11, 4)"
1.0,"(11, 5)"
1.0,"(11, 6)"
1.0,"(11, 7)"
1.0,"(11, 8)"
1.0,"(11, 9)"
1.0,"(11, 10)"
1.0,"(12, 2)"
1.0,"(12, 3)"
1.0,"(12, 4)"
1.0,"(12, 5)"
1.0,"(12, 6)"
1.0,"(12, 7)"
1.0,"(12, 8)"
1.0,"(12, 9)"
1.0,"(12, 10)"
1.0,"(13, 2)"
1.0,"(13, 3)"
1.0,"(13, 4)"
1.0,"(13, 5)"
1.0,"(13, 6)"
1.0,"(13, 7)"
1.0,"(13, 8)"
1.0,"(13, 9)"
1.0,"(13, 10)"
1.0,"(14, 2)"
1.0,"(14, 3)"
1.0,"(14, 4)"
1.0,"(14, 5)"
1.0,"(14, 6)"
1.0,"(14, 7)"
1.0,"(14, 8)"
1.0,"(14, 9)"
1.0,"(14, 10)"
1.0,"(15, 2)"
1.0,"(15, 3)"
1.0,"(15, 4)"
1.0,"(15, 5)"
1.0,"(15, 6)"
1.0,"(15, 7)"
1.0,"(15, 8)"
1.0,"(15, 9)"
1.0,"(15, 10)"
1.07,"(5, 1)"
1.07,"(5, 11)"
1.07,"(6, 1)"
1.07,"(6, 11)"
1.07,"(7, 1)"
1.07,"(7, 11)"
1.07,"(8, 1)"
1.07,"(8, 11)"
1.07,"(9, 1)"
1.07,"(9, 11)"
1.07,"(10, 1)"
1.07,"(10, 11)"
1.07,"(11, 1)"
1.07,"(11, 11)"
1.07,"(12, 1)"
1.07,"(12, 11)"
1.07,"(13, 1)"
1.07,"(13, 11)"
1.07,"(14, 1)"
1.07,"(14, 11)"
1.07,"(15, 1)"
1.07,"(15, 11)"
1.15,"(5, 0)"
1.15,"(5, 12)"
1.15,"(6, 0)"
1.15,"(6, 12)"
1.15,"(7, 0)"
1.15,"(7, 12)"
1.15,"(8, 0)"
1.15,"(8, 12)"
1.15,"(9, 0)"
1.15,"(9, 12)"
1.15,"(10, 0)"
1.15,"(10, 12)"
1.15,"(11, 0)"
1.15,"(11, 12)"
1.15,"(12, 0)"
1.15,"(12, 12)"
1.15,"(13, 0)"
1.15,"(13, 12)"
1.15,"(14, 0)"
1.15,"(14, 12)"
1.15,"(15, 0)"
1.15,"(15, 12)"
1.22,"(5, 13)"
1.22,"(6, 13)"
1.22,"(7, 13)"
1.22,"(8, 13)"
1.22,"(9, 13)"
1.22,"(10, 13)"
1.22,"(11, 13)"
1.22,"(12, 13)"
1.22,"(13, 13)"
1.22,"(14, 13)"
1.22,"(15, 13)"
1.3,"(5, 14)"
1.3,"(6, 14)"
1.3,"(7, 14)"
1.3,"(8, 14)"
1.3,"(9, 14)"
1.3,"(10, 14)"
1.3,"(11, 14)"
1.3,"(12, 14)"
1.3,"(13, 14)"
1.3,"(14, 14)"
1.3,"(15, 14)"
1.37,"(5, 15)"
1.37,"(6, 15)"
1.37,"(7, 15)"
1.37,"(8, 15)"
1.37,"(9, 15)"
1.37,"(10, 15)"
1.37,"(11, 15)"
1.37,"(12, 15)"
1.37,"(13, 15)"
1.37,"(14, 15)"
1.37,"(15, 15)"
1.44,"(5, 16)"
1.44,"(6, 16)"
1.44,"(7, 16)"
1.44,"(8, 16)"
1.44,"(9, 16)"
1.44,"(10, 16)"
1.44,"(11, 16)"
1.44,"(12, 16)"
1.44,"(13, 16)"
1.44,"(14, 16)"
1.44,"(15, 16)"
1.52,"(5, 17)"
1.52,"(6, 17)"
1.52,"(7, 17)"
1.52,"(8, 17)"
1.52,"(9, 17)"
1.52,"(10, 17)"
1.52,"(11, 17)"
1.52,"(12, 17)"
1.52,"(13, 17)"
