deviation_factor,midpoint
1.0,"(9, 24)"
1.0,"(9, 25)"
1.0,"(9, 26)"
1.0,"(9, 27)"
1.0,"(9, 28)"
1.0,"(9, 29)"
1.0,"(9, 30)"
1.0,"(9, 31)"
1.0,"(9, 32)"
1.0,"(10, 24)"
1.0,"(10, 25)"
1.0,"(10, 26)"
1.0,"(10, 27)"
1.0,"(10, 28)"
1.0,"(10, 29)"
1.0,"(10, 30)"
1.0,"(10, 31)"
1.0,"(10, 32)"
1.0,"(11, 24)"
1.0,"(11, 25)"
1.0,"(11, 26)"
1.0,"(11, 27)"
1.0,"(11, 28)"
1.0,"(11, 29)"
1.0,"(11, 30)"
1.0,"(11, 31)"
1.0,"(11, 32)"
1.0,"(12, 24)"
1.0,"(12, 25)"
1.0,"(12, 26)"
1.0,"(12, 27)"
1.0,"(12, 28)"
1.0,"(12, 29)"
1.0,"(12, 30)"
1.0,"(12, 31)"
1.0,"(12, 32)"
1.0,"(13, 24)"
1.0,"(13, 25)"
1.0,"(13, 26)"
1.0,"(13, 27)"
1.0,"(13, 28)"
1.0,"(13, 29)"
1.0,"(13, 30)"
1.0,"(13, 31)"
1.0,"(13, 32)"
1.0,"(14, 24)"
1.0,"(14, 25)"
1.0,"(14, 26)"
1.0,"(14, 27)"
1.0,"(14, 28)"
1.0,"(14, 29)"
1.0,"(14, 30)"
1.0,"(14, 31)"
1.0,"(14, 32)"
1.0,"(15, 24)"
1.0,"(15, 25)"
1.0,"(15, 26)"
1.0,"(15, 27)"
1.0,"(15, 28)"
1.0,"(15, 29)"
1.0,"(15, 30)"
1.0,"(15, 31)"
1.0,"(15, 32)"
1.0,"(16, 24)"
1.0,"(16, 25)"
1.0,"(16, 26)"
1.0,"(16, 27)"
1.0,"(16, 28)"
1.0,"(16, 29)"
1.0,"(16, 30)"
1.0,"(16, 31)"
1.0,"(16, 32)"
1.0,"(17, 24)"
1.0,"(17, 25)"
1.0,"(17, 26)"
1.0,"(17, 27)"
1.0,"(17, 28)"
1.0,"(17, 29)"
1.0,"(17, 30)"
1.0,"(17, 31)"
1.0,"(17, 32)"
1.0,"(18, 24)"
1.0,"(18, 25)"
1.0,"(18, 26)"
1.0,"(18, 27)"
1.0,"(18, 28)"
1.0,"(18, 29)"
1.0,"(18, 30)"
1.0,"(18, 31)"
1.0,"(18, 32)"
1.0,"(19, 24)"
1.0,"(19, 25)"
1.0,"(19, 26)"
1.0,"(19, 27)"
1.0,"(19, 28)"
1.0,"(19, 29)"
1.0,"(19, 30)"
1.0,"(19, 31)"
1.0,"(19, 32)"
1.0,"(20, 24)"
1.0,"(20, 25)"
1.0,"(20, 26)"
1.0,"(20, 27)"
1.0,"(20, 28)"
1.0,"(20, 29)"
1.0,"(20, 30)"
1.0,"(20, 31)"
1.0,"(20, 32)"
1.0,"(21, 24)"
1.0,"(21, 25)"
1.0,"(21, 26)"
1.0,"(21, 27)"
1.0,"(21, 28)"
1.0,"(21, 29)"
1.0,"(21, 30)"
1.0,"(21, 31)"
1.0,"(21, 32)"
1.0,"(22, 24)"
1.0,"(22, 25)"
1.0,"(22, 26)"
1.0,"(22, 27)"
1.0,"(22, 28)"
1.0,"(22, 29)"
1.0,"(22, 30)"
1.0,"(22, 31)"
1.0,"(22, 32)"
1.0,"(23, 24)"
1.0,"(23, 25)"
1.0,"(23, 26)"
1.0,"(23, 27)"
1.0,"(23, 28)"
1.0,"(23, 29)"
1.0,"(23, 30)"
1.0,"(23, 31)"
1.0,"(23, 32)"
1.0,"(24, 24)"
1.0,"(24, 25)"
1.0,"(24, 26)"
1.0,"(24, 27)"
1.0,"(24, 28)"
1.0,"(24, 29)"
1.0,"(24, 30)"
1.0,"(24, 31)"
1.0,"(24, 32)"
1.0,"(25, 24)"
1.0,"(25, 25)"
1.0,"(25, 26)"
1.0,"(25, 27)"
1.0,"(25, 28)"
1.0,"(25, 29)"
1.0,"(25, 30)"
1.0,"(25, 31)"
1.0,"(25, 32)"
1.0,"(26, 24)"
1.0,"(26, 25)"
1.0,"(26, 26)"
1.0,"(26, 27)"
1.0,"(26, 28)"
1.0,"(26, 29)"
1.0,"(26, 30)"
1.0,"(26, 31)"
1.0,"(26, 32)"
1.0,"(27, 24)"
1.0,"(27, 25)"
1.0,"(27, 26)"
1.0,"(27, 27)"
1.0,"(27, 28)"
1.0,"(27, 29)"
1.0,"(27, 30)"
1.0,"(27, 31)"
1.0,"(27, 32)"
1.0,"(28, 24)"
1.0,"(28, 25)"
1.0,"(28, 26)"
1.0,"(28, 27)"
1.0,"(28, 28)"
1.0,"(28, 29)"
1.0,"(28, 30)"
1.0,"(28, 31)"
1.0,"(28, 32)"
1.0,"(29, 24)"
1.0,"(29, 25)"
1.0,"(29, 26)"
1.0,"(29, 27)"
1.0,"(29, 28)"
1.0,"(29, 29)"
1.0,"(29, 30)"
1.0,"(29, 31)"
1.0,"(29, 32)"
1.0,"(30, 24)"
1.0,"(30, 25)"
1.0,"(30, 26)"
1.0,"(30, 27)"
1.0,"(30, 28)"
1.0,"(30, 29)"
1.0,"(30, 30)"
1.0,"(30, 31)"
1.0,"(30, 32)"
1.0,"(31, 24)"
1.0,"(31, 25)"
1.0,"(31, 26)"
1.0,"(31, 27)"
1.0,"(31, 28)"
1.0,"(31, 29)"
1.0,"(31, 30)"
1.0,"(31, 31)"
1.0,"(31, 32)"
1.04,"(9, 23)"
1.04,"(9, 33)"
1.04,"(10, 23)"
1.04,"(10, 33)"
1.04,"(11, 23)"
1.04,"(11, 33)"
1.04,"(12, 23)"
