deviation_factor,midpoint
1.0,"(3, 0)"
1.0,"(3, 1)"
1.0,"(3, 2)"
1.0,"(3, 3)"
1.0,"(3, 4)"
1.0,"(3, 5)"
1.0,"(3, 6)"
1.0,"(4, 0)"
1.0,"(4, 1)"
1.0,"(4, 2)"
1.0,"(4, 3)"
1.0,"(4, 4)"
1.0,"(4, 5)"
1.0,"(4, 6)"
1.0,"(5, 0)"
1.0,"(5, 1)"
1.0,"(5, 2)"
1.0,"(5, 3)"
1.0,"(5, 4)"
1.0,"(5, 5)"
1.0,"(5, 6)"
1.0,"(6, 0)"
1.0,"(6, 1)"
1.0,"(6, 2)"
1.0,"(6, 3)"
1.0,"(6, 4)"
1.0,"(6, 5)"
1.0,"(6, 6)"
1.0,"(7, 0)"
1.0,"(7, 1)"
1.0,"(7, 2)"
1.0,"(7, 3)"
1.0,"(7, 4)"
1.0,"(7, 5)"
1.0,"(7, 6)"
1.13,"(3, 7)"
1.13,"(4, 7)"
1.13,"(5, 7)"
1.13,"(6, 7)"
1.13,"(7, 7)"
1.27,"(3, 8)"
1.27,"(4, 8)"
1.27,"(5, 8)"
1.27,"(6, 8)"
1.27,"(7, 8)"
1.4,"(3, 9)"
1.4,"(4, 9)"
1.4,"(5, 9)"
1.4,"(6, 9)"
1.4,"(7, 9)"
