deviation_factor,midpoint
1.0,"(9, 30)"
1.0,"(9, 31)"
1.0,"(9, 32)"
1.0,"(9, 33)"
1.0,"(9, 34)"
1.0,"(9, 35)"
1.0,"(9, 36)"
1.0,"(9, 37)"
1.0,"(9, 38)"
1.0,"(10, 30)"
1.0,"(10, 31)"
1.0,"(10, 32)"
1.0,"(10, 33)"
1.0,"(10, 34)"
1.0,"(10, 35)"
1.0,"(10, 36)"
1.0,"(10, 37)"
1.0,"(10, 38)"
1.0,"(11, 30)"
1.0,"(11, 31)"
1.0,"(11, 32)"
1.0,"(11, 33)"
1.0,"(11, 34)"
1.0,"(11, 35)"
1.0,"(11, 36)"
1.0,"(11, 37)"
1.0,"(11, 38)"
1.0,"(12, 30)"
1.0,"(12, 31)"
1.0,"(12, 32)"
1.0,"(12, 33)"
1.0,"(12, 34)"
1.0,"(12, 35)"
1.0,"(12, 36)"
1.0,"(12, 37)"
1.0,"(12, 38)"
1.0,"(13, 30)"
1.0,"(13, 31)"
1.0,"(13, 32)"
1.0,"(13, 33)"
1.0,"(13, 34)"
1.0,"(13, 35)"
1.0,"(13, 36)"
1.0,"(13, 37)"
1.0,"(13, 38)"
1.0,"(14, 30)"
1.0,"(14, 31)"
1.0,"(14, 32)"
1.0,"(14, 33)"
1.0,"(14, 34)"
1.0,"(14, 35)"
1.0,"(14, 36)"
1.0,"(14, 37)"
1.0,"(14, 38)"
1.0,"(15, 30)"
1.0,"(15, 31)"
1.0,"(15, 32)"
1.0,"(15, 33)"
1.0,"(15, 34)"
1.0,"(15, 35)"
1.0,"(15, 36)"
1.0,"(15, 37)"
1.0,"(15, 38)"
1.0,"(16, 30)"
1.0,"(16, 31)"
1.0,"(16, 32)"
1.0,"(16, 33)"
1.0,"(16, 34)"
1.0,"(16, 35)"
1.0,"(16, 36)"
1.0,"(16, 37)"
1.0,"(16, 38)"
1.0,"(17, 30)"
1.0,"(17, 31)"
1.0,"(17, 32)"
1.0,"(17, 33)"
1.0,"(17, 34)"
1.0,"(17, 35)"
1.0,"(17, 36)"
1.0,"(17, 37)"
1.0,"(17, 38)"
1.0,"(18, 30)"
1.0,"(18, 31)"
1.0,"(18, 32)"
1.0,"(18, 33)"
1.0,"(18, 34)"
1.0,"(18, 35)"
1.0,"(18, 36)"
1.0,"(18, 37)"
1.0,"(18, 38)"
1.0,"(19, 30)"
1.0,"(19, 31)"
1.0,"(19, 32)"
1.0,"(19, 33)"
1.0,"(19, 34)"
1.0,"(19, 35)"
1.0,"(19, 36)"
1.0,"(19, 37)"
1.0,"(19, 38)"
1.0,"(20, 30)"
1.0,"(20, 31)"
1.0,"(20, 32)"
1.0,"(20, 33)"
1.0,"(20, 34)"
1.0,"(20, 35)"
1.0,"(20, 36)"
1.0,"(20, 37)"
1.0,"(20, 38)"
1.0,"(21, 30)"
1.0,"(21, 31)"
1.0,"(21, 32)"
1.0,"(21, 33)"
1.0,"(21, 34)"
1.0,"(21, 35)"
1.0,"(21, 36)"
1.0,"(21, 37)"
1.0,"(21, 38)"
1.0,"(22, 30)"
1.0,"(22, 31)"
1.0,"(22, 32)"
1.0,"(22, 33)"
1.0,"(22, 34)"
1.0,"(22, 35)"
1.0,"(22, 36)"
1.0,"(22, 37)"
1.0,"(22, 38)"
1.0,"(23, 30)"
1.0,"(23, 31)"
1.0,"(23, 32)"
1.0,"(23, 33)"
1.0,"(23, 34)"
1.0,"(23, 35)"
1.0,"(23, 36)"
1.0,"(23, 37)"
1.0,"(23, 38)"
1.0,"(24, 30)"
1.0,"(24, 31)"
1.0,"(24, 32)"
1.0,"(24, 33)"
1.0,"(24, 34)"
1.0,"(24, 35)"
1.0,"(24, 36)"
1.0,"(24, 37)"
1.0,"(24, 38)"
1.0,"(25, 30)"
1.0,"(25, 31)"
1.0,"(25, 32)"
1.0,"(25, 33)"
1.0,"(25, 34)"
1.0,"(25, 35)"
1.0,"(25, 36)"
1.0,"(25, 37)"
1.0,"(25, 38)"
1.0,"(26, 30)"
1.0,"(26, 31)"
1.0,"(26, 32)"
1.0,"(26, 33)"
1.0,"(26, 34)"
1.0,"(26, 35)"
1.0,"(26, 36)"
1.0,"(26, 37)"
1.0,"(26, 38)"
1.0,"(27, 30)"
1.0,"(27, 31)"
1.0,"(27, 32)"
1.0,"(27, 33)"
1.0,"(27, 34)"
1.0,"(27, 35)"
1.0,"(27, 36)"
1.0,"(27, 37)"
1.0,"(27, 38)"
1.0,"(28, 30)"
1.0,"(28, 31)"
1.0,"(28, 32)"
1.0,"(28, 33)"
1.0,"(28, 34)"
1.0,"(28, 35)"
1.0,"(28, 36)"
1.0,"(28, 37)"
1.0,"(28, 38)"
1.0,"(29, 30)"
1.0,"(29, 31)"
1.0,"(29, 32)"
1.0,"(29, 33)"
1.0,"(29, 34)"
1.0,"(29, 35)"
1.0,"(29, 36)"
1.0,"(29, 37)"
1.0,"(29, 38)"
1.0,"(30, 30)"
1.0,"(30, 31)"
1.0,"(30, 32)"
1.0,"(30, 33)"
1.0,"(30, 34)"
1.0,"(30, 35)"
1.0,"(30, 36)"
1.0,"(30, 37)"
1.0,"(30, 38)"
1.0,"(31, 30)"
1.0,"(31, 31)"
1.0,"(31, 32)"
1.0,"(31, 33)"
1.0,"(31, 34)"
1.0,"(31, 35)"
1.0,"(31, 36)"
1.0,"(31, 37)"
1.0,"(31, 38)"
1.04,"(9, 29)"
1.04,"(9, 39)"
1.04,"(10, 29)"
1.04,"(10, 39)"
1.04,"(11, 29)"
1.04,"(11, 39)"
1.04,"(12, 29)"
1.04,"(12, 39)"
1.04,"(13, 29)"
1.04,"(13, 39)"
1.04,"(14, 29)"
1.04,"(14, 39)"
1.04,"(15, 29)"
1.04,"(15, 39)"
1.04,"(16, 29)"
1.04,"(16, 39)"
1.04,"(17, 29)"
1.04,"(17, 39)"
1.04,"(18, 29)"
1.04,"(18, 39)"
1.04,"(19, 29)"
1.04,"(19, 39)"
1.04,"(20, 29)"
1.04,"(20, 39)"
1.04,"(21, 29)"
1.04,"(21, 39)"
1.04,"(22, 29)"
1.04,"(22, 39)"
1.04,"(23, 29)"
1.04,"(23, 39)"
1.04,"(24, 29)"
1.04,"(24, 39)"
1.04,"(25, 29)"
1.04,"(25, 39)"
1.04,"(26, 29)"
1.04,"(26, 39)"
1.04,"(27, 29)"
1.04,"(27, 39)"
1.04,"(28, 29)"
1.04,"(28, 39)"
1.04,"(29, 29)"
1.04,"(29, 39)"
1.04,"(30, 29)"
1.04,"(30, 39)"
1.04,"(31, 29)"
1.04,"(31, 39)"
1.09,"(9, 28)"
1.09,"(10, 28)"
1.09,"(11, 28)"
1.09,"(12, 28)"
1.09,"(13, 28)"
1.09,"(14, 28)"
1.09,"(15, 28)"
1.09,"(16, 28)"
1.09,"(17, 28)"
1.09,"(18, 28)"
1.09,"(19, 28)"
1.09,"(20, 28)"
1.09,"(21, 28)"
1.09,"(22, 28)"
1.09,"(23, 28)"
1.09,"(24, 28)"
1.09,"(25, 28)"
1.09,"(26, 28)"
1.09,"(27, 28)"
1.09,"(28, 28)"
1.09,"(29, 28)"
1.09,"(30, 28)"
1.09,"(31, 28)"
1.13,"(9, 27)"
1.13,"(10, 27)"
1.13,"(11, 27)"
1.13,"(12, 27)"
1.13,"(13, 27)"
1.13,"(14, 27)"
1.13,"(15, 27)"
1.13,"(16, 27)"
1.13,"(17, 27)"
1.13,"(18, 27)"
1.13,"(19, 27)"
1.13,"(20, 27)"
1.13,"(21, 27)"
1.13,"(22, 27)"
1.13,"(23, 27)"
1.13,"(24, 27)"
1.13,"(25, 27)"
1.13,"(26, 27)"
1.13,"(27, 27)"
1.13,"(28, 27)"
1.13,"(29, 27)"
1.13,"(30, 27)"
1.13,"(31, 27)"
1.17,"(9, 26)"
1.17,"(10, 26)"
1.17,"(11, 26)"
1.17,"(12, 26)"
1.17,"(13, 26)"
1.17,"(14, 26)"
1.17,"(15, 26)"
1.17,"(16, 26)"
1.17,"(17, 26)"
1.17,"(18, 26)"
1.17,"(19, 26)"
1.17,"(20, 26)"
1.17,"(21, 26)"
1.17,"(22, 26)"
1.17,"(23, 26)"
1.17,"(24, 26)"
1.17,"(25, 26)"
1.17,"(26, 26)"
1.17,"(27, 26)"
1.17,"(28, 26)"
1.17,"(29, 26)"
1.17,"(30, 26)"
1.17,"(31, 26)"
1.21,"(9, 25)"
1.21,"(10, 25)"
1.21,"(11, 25)"
1.21,"(12, 25)"
1.21,"(13, 25)"
