y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,35,2,34,2,33,2,32,2,31,2,31,3,31,4,31,5,30,5,30,6,29,6,29,7,28,7,27,7,26,7,25,7,24,7,23,7,22,7,21,7,20,7,19,7,18,7,17,7,16,7,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,37,1,37,2,36,2,36,3,35,3,34,3,33,3,33,4,32,4,31,4,31,5,31,6,30,6,29,6,28,6,28,7,27,7,26,7,26,8,25,8,24,8,24,9,23,9,23,10,23,11,22,11,21,11,21,12,21,13,21,14,20,14,20,15,20,16,20,15,19,15,18,15,18,14,18,13,18,12,17,12,17,11,16,11,15,11,14,11,14,10,13,10,12,10,11,10,11,9,10,9,9,9,8,9,7,9,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,37,1,37,2,36,2,36,3,36,4,36,5,36,6,35,6,35,7,35,8,34,8,33,8,32,8,32,9,32,10,32,11,32,12,31,12,31,13,31,14,31,15,31,16,31,17,30,17,29,17,29,18,29,19,29,18,28,18,27,18,26,18,26,17,25,17,24,17,23,17,22,17,22,16,21,16,21,15,21,14,21,13,20,13,19,13,19,12,19,11,19,10,18,10,17,10,16,10,15,10,14,10,14,9,13,9,12,9,11,9,10,9,9,9,8,9,7,9,6,9,5,9,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,36,1,36,2,36,3,36,4,35,4,34,4,33,4,33,5,33,6,32,6,32,7,32,8,32,9,32,10,31,10,31,11,31,12,30,12,29,12,29,11,28,11,27,11,27,10,26,10,25,10,25,9,24,9,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,33,1,32,1,31,1,30,1,29,1,28,1,27,1,26,1,25,1,24,1,24,2,24,3,24,4,23,4,22,4,21,4,21,5,20,5,19,5,18,5,18,6,17,6,16,6,16,7,15,7,14,7,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,35,1,34,1,33,1,32,1,32,2,32,3,32,4,32,5,31,5,30,5,30,6,30,7,30,8,29,8,28,8,27,8,26,8,25,8,25,9,24,9,23,9,23,10,23,11,23,12,22,12,22,13,22,14,21,14,21,15,21,16,20,16,20,17,19,17,19,18,18,18,18,19,18,18,18,17,17,17,17,16,16,16,15,16,15,15,15,14,15,13,14,13,14,12,14,11,13,11,13,10,12,10,11,10,10,10,9,10,8,10,8,9,7,9,6,9,5,9,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,32,1,31,1,31,2,30,2,29,2,28,2,28,3,27,3,27,4,26,4,26,5,26,6,25,6,24,6,23,6,22,6,21,6,20,6,19,6,18,6,17,6,16,6,15,6,14,6,14,7,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,35,1,34,1,33,1,32,1,32,2,31,2,30,2,29,2,28,2,28,3,27,3,26,3,25,3,24,3,24,4,23,4,23,5,22,5,21,5,20,5,20,6,20,7,19,7,18,7,18,8,18,9,18,10,17,10,17,9,16,9,15,9,14,9,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,30,1,29,1,29,2,28,2,28,3,27,3,27,4,27,5,27,6,26,6,25,6,24,6,23,6,23,7,22,7,22,8,21,8,20,8,20,9,20,10,20,11,20,12,20,13,20,14,20,15,20,16,20,17,20,18,20,19,19,19,19,20,19,21,19,22,19,23,18,23,18,22,18,21,17,21,17,20,17,19,16,19,16,18,15,18,14,18,14,17,13,17,12,17,12,16,12,15,12,14,12,13,12,12,12,11,12,10,12,9,11,9,10,9,9,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,37,1,37,2,37,3,37,4,37,5,36,5,36,6,36,7,36,8,36,9,36,10,35,10,34,10,34,11,33,11,33,12,33,13,33,14,32,14,32,15,32,16,32,17,32,18,31,18,31,19,31,18,30,18,30,17,29,17,29,16,28,16,27,16,27,15,27,14,26,14,26,13,26,12,26,11,25,11,24,11,23,11,22,11,21,11,21,10,20,10,19,10,18,10,17,10,17,9,16,9,15,9,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,34,1,34,2,33,2,32,2,32,3,32,4,31,4,30,4,29,4,29,5,29,6,28,6,27,6,27,7,27,8,26,8,26,9,25,9,24,9,23,9,22,9,21,9,20,9,19,9,18,9,17,9,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,34,1,33,1,32,1,31,1,31,2,30,2,30,3,30,4,29,4,28,4,27,4,27,5,26,5,25,5,25,6,24,6,23,6,22,6,21,6,20,6,19,6,19,7,18,7,17,7,16,7,15,7,14,7,13,7,12,7,11,7,10,7,9,7,8,7,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
