y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,35,7,34,7,33,7,33,6,32,6,32,5,32,4,31,4,30,4,30,3,29,3,29,2,28,2,28,1,27,1,26,1,25,1,24,1,23,1,23,2,22,2,22,3,22,4,21,4,21,5,20,5,20,6,19,6,19,7,19,8,19,9,18,9,17,9,17,10,16,10,16,11,16,12,15,12,14,12,13,12,12,12,11,12,11,13,10,13,10,14,9,14,8,14,7,14,6,14,5,14,4,14,3,14,2,14,2,15,1,15,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,21,7,20,7,19,7,18,7,17,7,16,7,15,7,14,7,13,7,12,7,12,6,11,6,11,5,11,6,10,6,10,7,10,8,10,9,10,10,10,11,10,12,9,12,9,13,8,13,8,14,7,14,7,15,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,27,7,26,7,26,6,26,5,25,5,24,5,23,5,22,5,22,4,21,4,20,4,20,3,19,3,19,2,19,1,18,1,17,1,16,1,15,1,14,1,14,0,13,0,12,0,12,1,12,2,12,3,12,4,12,5,12,6,12,7,11,7,11,8,11,9,11,10,10,10,9,10,9,11,9,12,9,13,8,13,7,13,7,14,6,14,5,14,5,15,4,15,3,15,2,15,1,15,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,37,9,36,9,35,9,35,10,35,11,35,12,34,12,33,12,33,13,33,14,33,15,32,15,31,15,31,16,31,17,30,17,30,18,30,19,30,20,30,21,29,21,28,21,28,20,27,20,26,20,26,19,25,19,24,19,23,19,22,19,21,19,20,19,19,19,18,19,17,19,16,19,15,19,14,19,14,18,13,18,12,18,12,17,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,28,9,27,9,26,9,26,10,25,10,24,10,23,10,22,10,21,10,20,10,19,10,18,10,17,10,16,10,16,11,15,11,15,12,14,12,14,13,13,13,12,13,11,13,10,13,9,13,8,13,7,13,7,14,7,15,6,15,5,15,4,15,3,15,2,15,1,15,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,14,9,13,9,12,9,12,10,11,10,10,10,10,11,10,12,10,13,9,13,9,14,8,14,8,15,7,15,6,15,5,15,4,15,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,33,9,32,9,31,9,30,9,29,9,28,9,27,9,26,9,25,9,24,9,23,9,23,10,22,10,21,10,20,10,19,10,18,10,17,10,16,10,15,10,15,11,15,12,14,12,14,13,13,13,12,13,11,13,10,13,9,13,9,14,8,14,7,14,6,14,6,15,5,15,4,15,3,15,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,31,7,30,7,29,7,28,7,27,7,26,7,26,6,26,7,25,7,25,8,24,8,24,9,23,9,22,9,22,10,21,10,21,11,21,12,20,12,19,12,18,12,18,13,17,13,16,13,15,13,14,13,13,13,12,13,11,13,11,14,10,14,9,14,8,14,7,14,7,15,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,36,7,36,6,35,6,34,6,34,5,33,5,33,4,32,4,32,3,31,3,31,2,31,1,30,1,29,1,29,2,29,3,28,3,28,4,27,4,26,4,25,4,25,5,25,6,24,6,23,6,23,7,22,7,21,7,20,7,19,7,18,7,17,7,17,8,16,8,16,9,16,10,15,10,14,10,13,10,12,10,11,10,10,10,10,11,9,11,8,11,8,12,8,13,7,13,6,13,5,13,5,14,4,14,3,14,3,15,2,15,1,15,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,38,9,37,9,36,9,35,9,34,9,34,10,34,11,34,12,33,12,32,12,31,12,30,12,30,13,29,13,29,14,28,14,27,14,26,14,25,14,25,15,24,15,23,15,22,15,21,15,20,15,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
