x_start,y_start,x_end,y_end,arrival_time
0,9,6,0,17
6,9,0,0,18
4,9,8,0,16
2,9,2,0,13
6,9,4,0,13
2,9,0,0,14
0,9,6,0,17
4,9,4,0,16
2,9,2,0,13
2,9,8,0,17
2,9,8,0,18
4,9,2,0,16
6,9,0,0,19
2,9,6,0,15
4,9,4,0,13
0,9,0,0,13
6,9,6,0,11
6,9,4,0,13
6,9,8,0,13
4,9,2,0,13
4,9,0,0,17
2,9,8,0,17
2,9,2,0,14
6,9,4,0,13
0,9,6,0,17
6,9,8,0,13
0,9,0,0,14
6,9,4,0,13
0,9,6,0,18
6,9,2,0,15
0,9,6,0,17
4,9,2,0,13
2,9,8,0,18
0,9,0,0,13
6,9,4,0,13
