y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80,y_81,x_81,y_82,x_82,y_83,x_83
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,33,17,32,17,31,17,30,17,29,17,28,17,28,16,27,16,27,15,26,15,25,15,25,14,24,14,24,13,23,13,22,13,22,12,22,11,21,11,20,11,20,10,20,9,20,8,19,8,18,8,18,7,17,7,17,6,17,5,16,5,16,4,15,4,15,3,15,2,14,2,13,2,12,2,11,2,10,2,10,1,9,1,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,38,19,37,19,36,19,35,19,34,19,34,20,33,20,33,21,32,21,32,22,32,23,31,23,31,24,31,23,31,22,30,22,30,21,29,21,29,20,28,20,27,20,27,19,26,19,26,18,26,17,26,16,26,15,25,15,25,14,25,13,24,13,24,12,23,12,22,12,22,11,22,10,22,9,21,9,20,9,20,8,19,8,19,7,18,7,18,6,17,6,17,5,16,5,16,4,15,4,14,4,13,4,12,4,12,3,11,3,10,3,9,3,9,2,8,2,8,1,7,1,6,1,5,1,5,0,4,0,3,0,2,0,1,0,0,0
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,35,19,34,19,33,19,32,19,31,19,30,19,29,19,28,19,28,20,27,20,27,21,26,21,25,21,25,22,25,23,24,23,23,23,22,23,21,23,20,23,20,24,19,24,18,24,18,23,18,22,18,21,18,20,18,19,18,18,18,17,17,17,17,16,17,15,17,14,16,14,15,14,15,13,14,13,14,12,14,11,14,10,13,10,13,9,13,8,12,8,12,7,12,6,12,5,12,4,12,3,11,3,11,2,10,2,9,2,9,1,8,1,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,36,19,35,19,35,20,34,20,34,21,34,22,33,22,32,22,32,23,31,23,30,23,29,23,29,24,29,25,29,26,29,25,28,25,28,24,27,24,27,23,27,22,27,21,27,20,27,19,27,18,27,17,27,16,26,16,25,16,25,15,25,14,25,13,25,12,24,12,23,12,22,12,22,11,22,10,21,10,21,9,21,8,20,8,19,8,19,7,19,6,19,5,18,5,17,5,16,5,15,5,15,4,14,4,14,3,13,3,12,3,11,3,10,3,10,2,10,1,9,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,2,0,1,0,0,0
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,37,19,36,19,35,19,34,19,33,19,32,19,31,19,31,20,30,20,30,21,30,22,29,22,28,22,27,22,26,22,25,22,25,23,25,24,25,25,24,25,23,25,22,25,21,25,20,25,19,25,19,24,19,23,19,22,19,21,19,20,19,19,19,18,18,18,18,17,18,16,18,15,18,14,18,13,18,12,18,11,18,10,18,9,18,8,17,8,16,8,15,8,15,7,14,7,14,6,14,5,13,5,12,5,12,4,11,4,10,4,10,3,9,3,9,2,8,2,7,2,6,2,6,1,5,1,4,1,3,1,3,0,2,0,1,0,0,0
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,35,19,34,19,33,19,32,19,31,19,30,19,29,19,28,19,27,19,26,19,25,19,24,19,23,19,22,19,21,19,20,19,19,19,18,19,17,19,16,19,15,19,15,18,15,17,15,16,15,15,15,14,14,14,13,14,12,14,11,14,10,14,10,13,10,12,10,11,9,11,9,10,8,10,8,9,8,8,8,7,8,6,8,5,8,4,7,4,6,4,5,4,5,3,4,3,4,2,3,2,2,2,1,2,1,1,1,0,0,0
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,34,17,33,17,32,17,31,17,30,17,30,16,29,16,29,15,28,15,27,15,26,15,25,15,24,15,24,14,24,13,23,13,22,13,21,13,20,13,20,12,19,12,19,11,18,11,18,10,17,10,16,10,15,10,15,9,15,8,15,7,15,6,14,6,13,6,12,6,11,6,10,6,10,5,10,4,10,3,10,2,10,1,9,1,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,30,17,30,16,29,16,28,16,27,16,26,16,25,16,24,16,23,16,22,16,21,16,20,16,20,15,19,15,19,14,18,14,17,14,17,13,17,12,17,11,17,10,16,10,15,10,14,10,14,9,14,8,13,8,13,7,13,6,13,5,13,4,12,4,11,4,11,3,10,3,9,3,9,2,9,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,1,1,0,0,0
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,36,17,35,17,34,17,34,16,33,16,32,16,32,15,31,15,31,14,30,14,29,14,29,13,28,13,28,12,28,11,28,10,28,9,27,9,26,9,26,8,25,8,24,8,23,8,22,8,22,7,21,7,21,6,21,5,20,5,19,5,18,5,17,5,16,5,15,5,14,5,14,4,14,3,13,3,13,2,12,2,11,2,10,2,9,2,9,1,8,1,7,1,6,1,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,38,17,37,17,36,17,35,17,34,17,33,17,32,17,31,17,30,17,29,17,28,17,28,16,27,16,27,15,26,15,25,15,25,14,24,14,23,14,23,13,23,12,23,11,23,10,23,9,23,8,22,8,21,8,21,7,21,6,20,6,19,6,19,5,18,5,18,4,18,3,18,2,17,2,16,2,15,2,14,2,14,1,13,1,12,1,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,31,19,30,19,30,20,30,21,29,21,28,21,27,21,26,21,25,21,24,21,23,21,23,22,22,22,21,22,21,23,20,23,20,24,19,24,18,24,18,25,17,25,16,25,16,26,15,26,15,27,14,27,14,26,14,25,14,24,14,23,14,22,14,21,14,20,14,19,13,19,13,18,12,18,12,17,12,16,12,15,12,14,12,13,12,12,12,11,11,11,11,10,11,9,11,8,10,8,10,7,9,7,8,7,8,6,8,5,8,4,8,3,7,3,7,2,7,1,6,1,5,1,4,1,3,1,3,0,2,0,1,0,0,0
