y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,35,1,34,1,33,1,32,1,31,1,30,1,30,2,29,2,29,3,29,4,29,5,28,5,27,5,27,6,26,6,25,6,25,7,24,7,24,8,24,9,24,10,24,11,24,12,23,12,22,12,22,13,21,13,20,13,19,13,19,14,19,15,19,16,19,17,19,18,19,19,19,20,19,21,19,22,18,22,18,23,17,23,16,23,16,24,15,24,14,24,14,25,14,26,14,27,14,28,14,29,13,29,13,30,12,30,12,31,11,31,10,31,10,32,9,32,9,33,9,34,9,35,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,29,1,28,1,27,1,26,1,26,2,25,2,24,2,23,2,22,2,22,3,21,3,20,3,19,3,19,4,19,5,19,6,19,7,19,8,18,8,18,9,18,10,17,10,17,11,17,12,17,13,17,14,17,15,16,15,16,16,15,16,15,17,14,17,14,18,14,19,14,20,13,20,13,21,13,22,13,23,13,24,12,24,11,24,10,24,10,25,10,26,9,26,8,26,7,26,6,26,6,27,5,27,4,27,4,28,4,29,4,30,4,31,3,31,3,32,2,32,1,32,1,33,1,34,1,35,1,36,0,36
39,0,39,0,39,0,39,0,38,0,38,1,37,1,36,1,36,2,35,2,34,2,34,3,34,4,33,4,33,5,32,5,32,6,32,7,32,8,32,9,32,10,31,10,31,11,30,11,29,11,28,11,28,12,27,12,27,13,27,14,27,15,27,16,27,17,26,17,26,18,26,19,26,20,26,21,26,22,25,22,25,23,25,24,25,25,25,26,25,27,24,27,24,28,23,28,23,29,23,30,23,31,23,32,23,33,23,34,22,34,21,34,20,34,19,34,18,34,17,34,17,35,16,35,15,35,14,35,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,35,2,35,3,35,4,34,4,34,5,34,6,33,6,33,7,33,8,33,9,32,9,32,10,31,10,30,10,29,10,29,11,28,11,28,12,28,13,27,13,27,14,27,15,27,16,27,17,27,18,27,19,27,20,26,20,25,20,24,20,23,20,22,20,22,21,22,22,22,23,22,24,22,25,22,26,21,26,21,27,20,27,19,27,19,28,19,29,18,29,18,30,18,31,17,31,16,31,15,31,14,31,13,31,12,31,11,31,11,32,11,33,10,33,9,33,9,34,8,34,7,34,6,34,6,35,5,35,4,35,4,36,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,34,1,33,1,33,2,33,3,33,4,33,5,32,5,32,6,32,7,32,8,31,8,31,9,30,9,29,9,29,10,28,10,28,11,28,12,28,13,28,14,28,15,28,16,28,17,28,18,27,18,27,19,26,19,25,19,25,20,24,20,23,20,22,20,22,21,22,22,21,22,21,23,20,23,20,24,20,25,20,26,20,27,19,27,19,28,19,29,19,30,18,30,17,30,16,30,15,30,15,31,14,31,13,31,12,31,12,32,11,32,10,32,9,32,8,32,7,32,7,33,6,33,5,33,4,33,4,34,4,35,3,35,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,37,1,36,1,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,29,3,29,4,28,4,27,4,27,5,26,5,26,6,26,7,25,7,25,8,24,8,24,9,24,10,23,10,23,11,22,11,21,11,20,11,19,11,19,12,18,12,18,13,17,13,16,13,15,13,14,13,14,14,13,14,13,15,12,15,12,16,12,17,12,18,12,19,12,20,12,21,12,22,12,23,12,24,11,24,10,24,10,25,10,26,10,27,10,28,10,29,10,30,10,31,10,32,10,33,9,33,8,33,7,33,6,33,6,34,6,35,5,35,4,35,3,35,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,35,1,35,2,34,2,33,2,33,3,33,4,32,4,32,5,31,5,31,6,31,7,30,7,30,8,29,8,28,8,27,8,27,9,26,9,26,10,25,10,25,11,25,12,24,12,23,12,23,13,22,13,21,13,21,14,21,15,20,15,20,16,20,17,19,17,19,18,19,19,19,20,19,21,19,22,19,23,19,24,19,25,19,26,19,27,18,27,18,28,18,29,18,30,18,31,18,32,18,33,17,33,16,33,15,33,14,33,14,34,13,34,12,34,11,34,10,34,10,35,9,35,8,35,7,35,6,35,5,35,4,35,3,35,2,35,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,34,1,34,2,34,3,33,3,33,4,33,5,32,5,31,5,31,6,30,6,30,7,30,8,30,9,30,10,29,10,29,11,29,12,28,12,28,13,28,14,28,15,28,16,28,17,28,18,28,19,28,20,28,21,28,22,28,23,28,24,28,25,27,25,27,26,26,26,25,26,25,27,24,27,23,27,23,28,22,28,21,28,21,29,20,29,19,29,18,29,18,30,18,31,17,31,16,31,16,32,15,32,14,32,13,32,12,32,11,32,11,33,10,33,10,34,10,35,9,35,8,35,7,35,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,27,0,27,1,27,2,26,2,25,2,24,2,23,2,22,2,22,3,22,4,21,4,21,5,20,5,19,5,18,5,18,6,18,7,17,7,17,8,17,9,17,10,16,10,15,10,15,11,15,12,15,13,15,14,14,14,14,15,14,16,14,17,14,18,13,18,13,19,13,20,12,20,12,21,11,21,11,22,11,23,10,23,9,23,9,24,9,25,9,26,8,26,7,26,7,27,6,27,6,28,5,28,5,29,4,29,3,29,3,30,3,31,3,32,3,33,3,34,3,35,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,30,1,29,1,29,2,28,2,28,3,27,3,26,3,25,3,24,3,24,4,24,5,23,5,23,6,22,6,21,6,20,6,20,7,20,8,19,8,19,9,19,10,18,10,17,10,17,11,17,12,16,12,16,13,16,14,16,15,15,15,14,15,14,16,14,17,14,18,14,19,14,20,14,21,13,21,13,22,13,23,13,24,13,25,12,25,11,25,10,25,9,25,9,26,9,27,8,27,8,28,7,28,6,28,6,29,6,30,6,31,6,32,6,33,6,34,5,34,4,34,3,34,3,35,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,38,1,37,1,37,2,36,2,35,2,35,3,35,4,35,5,34,5,33,5,32,5,32,6,31,6,31,7,31,8,31,9,31,10,30,10,30,11,29,11,28,11,27,11,26,11,25,11,24,11,24,12,24,13,24,14,23,14,22,14,22,15,22,16,21,16,20,16,19,16,19,17,19,18,18,18,17,18,16,18,15,18,15,19,15,20,15,21,14,21,13,21,13,22,13,23,12,23,11,23,11,24,11,25,11,26,11,27,11,28,10,28,9,28,9,29,8,29,8,30,8,31,7,31,6,31,6,32,6,33,6,34,5,34,4,34,3,34,2,34,2,35,1,35,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,35,1,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,24,3,24,4,24,5,24,6,24,7,24,8,24,9,24,10,24,11,23,11,23,12,22,12,22,13,22,14,22,15,22,16,21,16,21,17,21,18,21,19,21,20,20,20,19,20,19,21,19,22,19,23,18,23,18,24,17,24,16,24,15,24,15,25,15,26,15,27,14,27,13,27,13,28,12,28,12,29,11,29,10,29,10,30,9,30,9,31,9,32,9,33,9,34,8,34,8,35,7,35,6,35,5,35,4,35,4,36,3,36,2,36,1,36,0,36
