y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59
39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,31,1,30,1,30,2,29,2,28,2,27,2,27,3,26,3,25,3,25,4,25,5,24,5,23,5,23,6,23,7,23,8,22,8,21,8,20,8,20,9,20,10,19,10,19,11,19,12,19,13,19,14,19,15,18,15,17,15,16,15,15,15,14,15,14,16,13,16,13,15,12,15,11,15,10,15,10,14,9,14,8,14,8,13,7,13,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,27,0,26,0,25,0,24,0,23,0,22,0,21,0,20,0,20,1,19,1,19,2,18,2,18,3,18,4,17,4,17,5,17,6,16,6,15,6,14,6,14,7,13,7,12,7,12,8,12,9,12,10,11,10,10,10,9,10,9,11,8,11,7,11,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,32,1,31,1,30,1,29,1,28,1,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,21,3,20,3,20,4,20,5,20,6,19,6,18,6,17,6,17,7,16,7,15,7,15,8,15,9,15,10,14,10,13,10,12,10,11,10,10,10,9,10,9,11,8,11,7,11,6,11,5,11,4,11,3,11,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,30,1,30,2,29,2,29,3,29,4,28,4,28,5,28,6,28,7,27,7,26,7,25,7,24,7,23,7,23,8,23,9,23,10,23,11,22,11,21,11,21,12,20,12,19,12,18,12,17,12,16,12,15,12,14,12,13,12,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,32,1,32,2,32,3,32,4,32,5,31,5,30,5,30,6,30,7,30,8,29,8,28,8,27,8,26,8,25,8,24,8,24,9,24,10,23,10,23,11,22,11,21,11,20,11,20,12,19,12,18,12,17,12,16,12,15,12,14,12,13,12,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,36,1,35,1,35,2,35,3,34,3,33,3,32,3,32,4,32,5,31,5,31,6,30,6,29,6,28,6,28,7,28,8,27,8,27,9,27,10,26,10,26,11,26,12,25,12,24,12,23,12,22,12,21,12,20,12,19,12,18,12,17,12,16,12,15,12,14,12,13,12,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,27,0,26,0,25,0,24,0,24,1,24,2,23,2,23,3,22,3,22,4,22,5,21,5,20,5,19,5,18,5,17,5,17,6,16,6,15,6,14,6,13,6,13,7,13,8,12,8,11,8,11,9,10,9,9,9,9,10,9,11,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,35,1,34,1,33,1,32,1,31,1,30,1,30,2,30,3,29,3,29,4,28,4,27,4,26,4,26,5,26,6,26,7,26,8,25,8,25,9,24,9,23,9,22,9,21,9,21,10,20,10,19,10,18,10,17,10,16,10,15,10,14,10,13,10,12,10,11,10,10,10,9,10,9,11,8,11,7,11,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,38,0,37,0,36,0,35,0,35,1,35,2,35,3,34,3,34,4,34,5,33,5,33,6,32,6,31,6,30,6,30,7,30,8,30,9,29,9,28,9,28,10,28,11,28,12,28,13,27,13,27,14,27,15,27,16,26,16,25,16,25,15,24,15,24,14,23,14,22,14,21,14,20,14,19,14,18,14,17,14,16,14,16,13,15,13,14,13,13,13,12,13,11,13,10,13,9,13,8,13,7,13,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,33,1,33,2,33,3,32,3,31,3,30,3,30,4,29,4,28,4,28,5,28,6,28,7,27,7,27,8,26,8,25,8,25,9,24,9,24,10,23,10,22,10,21,10,20,10,20,11,19,11,18,11,17,11,16,11,15,11,14,11,13,11,13,12,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,30,1,29,1,28,1,27,1,26,1,25,1,24,1,23,1,22,1,21,1,20,1,19,1,18,1,17,1,16,1,15,1,14,1,13,1,13,2,13,3,13,4,12,4,11,4,11,5,10,5,10,6,10,7,9,7,8,7,8,8,7,8,7,9,6,9,5,9,5,10,5,11,4,11,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,34,1,33,1,32,1,31,1,30,1,29,1,28,1,28,2,27,2,27,3,26,3,26,4,25,4,24,4,24,5,23,5,22,5,21,5,20,5,19,5,18,5,17,5,16,5,15,5,14,5,14,6,13,6,13,7,12,7,11,7,10,7,9,7,9,8,9,9,8,9,8,10,7,10,6,10,5,10,4,10,3,10,2,10,2,11,1,11,1,12,0,12
39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,30,1,30,2,29,2,29,3,29,4,28,4,27,4,27,5,26,5,26,6,26,7,26,8,25,8,25,9,25,10,25,11,25,12,24,12,23,12,23,13,22,13,22,14,21,14,20,14,19,14,18,14,17,14,16,14,15,14,15,13,14,13,14,12,13,12,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
