y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,32,32,32,31,31,31,30,31,29,31,28,31,27,31,26,31,25,31,24,31,24,30,23,30,22,30,22,29,21,29,21,28,20,28,20,27,19,27,18,27,18,26,17,26,16,26,15,26,15,25,14,25,13,25,12,25,11,25,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,32,32,32,31,32,30,31,30,30,30,29,30,28,30,28,29,28,28,27,28,26,28,25,28,25,27,25,26,24,26,24,25,23,25,22,25,22,24,21,24,20,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,32,32,31,32,31,31,30,31,29,31,28,31,28,30,27,30,26,30,26,29,25,29,24,29,23,29,22,29,21,29,20,29,19,29,18,29,17,29,16,29,15,29,14,29,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,7,27,7,26,6,26,6,25,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,34,31,33,31,33,30,33,29,33,28,32,28,31,28,31,27,30,27,29,27,29,26,28,26,28,25,28,24,28,23,28,22,27,22,26,22,25,22,24,22,23,22,22,22,21,22,20,22,19,22,18,22,17,22,17,23,16,23,15,23,14,23,13,23,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,36,33,35,33,34,33,33,33,32,33,31,33,30,33,29,33,28,33,28,34,27,34,26,34,25,34,24,34,23,34,22,34,22,33,21,33,20,33,20,32,19,32,18,32,18,31,18,30,18,29,17,29,16,29,15,29,14,29,14,28,13,28,12,28,11,28,10,28,10,27,9,27,8,27,7,27,7,26,6,26,6,25,5,25,4,25,3,25,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,32,32,31,32,30,32,29,32,28,32,28,33,27,33,26,33,25,33,24,33,23,33,22,33,22,34,22,35,21,35,20,35,19,35,18,35,17,35,16,35,15,35,14,35,14,36,13,36,13,37,12,37,11,37,10,37,9,37,8,37,8,36,8,35,7,35,7,34,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,5,27,4,27,4,26,3,26,2,26,2,25,1,25,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,35,31,34,31,33,31,33,30,33,29,32,29,31,29,31,28,30,28,29,28,29,27,29,26,28,26,28,25,27,25,27,24,27,23,27,22,27,21,26,21,25,21,25,20,25,19,24,19,23,19,22,19,22,18,22,17,22,16,22,15,21,15,20,15,20,16,19,16,19,17,18,17,18,18,18,19,17,19,16,19,16,20,15,20,14,20,13,20,12,20,12,21,11,21,10,21,9,21,8,21,7,21,7,22,7,23,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,32,32,31,32,30,32,29,32,29,31,29,30,29,29,28,29,27,29,27,28,27,27,26,27,25,27,25,26,24,26,24,25,23,25,23,24,23,23,22,23,21,23,20,23,19,23,18,23,17,23,16,23,15,23,14,23,13,23,12,23,11,23,10,23,9,23,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,32,32,31,32,31,31,30,31,30,30,29,30,28,30,28,29,27,29,26,29,26,28,25,28,24,28,23,28,22,28,21,28,21,27,20,27,19,27,18,27,17,27,16,27,16,26,15,26,14,26,13,26,12,26,11,26,10,26,9,26,8,26,8,25,7,25,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,33,31,32,31,32,30,31,30,31,29,31,28,30,28,30,27,29,27,28,27,27,27,27,26,27,25,26,25,25,25,24,25,23,25,22,25,21,25,20,25,19,25,18,25,17,25,16,25,15,25,14,25,13,25,12,25,11,25,10,25,9,25,8,25,7,25,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,32,32,31,32,30,32,29,32,28,32,27,32,27,31,26,31,25,31,24,31,23,31,23,30,22,30,22,29,22,28,22,27,22,26,22,25,22,24,22,23,21,23,21,22,20,22,20,21,19,21,19,20,18,20,17,20,17,19,16,19,15,19,15,20,14,20,14,21,13,21,12,21,11,21,11,22,10,22,9,22,9,23,8,23,7,23,6,23,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,32,32,31,32,31,33,30,33,29,33,29,34,28,34,28,35,27,35,26,35,25,35,24,35,23,35,22,35,21,35,20,35,19,35,19,36,19,37,18,37,17,37,16,37,16,36,16,35,15,35,15,34,14,34,13,34,12,34,12,33,12,32,11,32,11,31,11,30,10,30,10,29,10,28,9,28,9,27,9,26,8,26,8,25,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,36,31,36,30,35,30,35,29,34,29,34,28,34,27,34,26,34,25,33,25,33,24,33,23,32,23,31,23,30,23,30,22,29,22,29,21,29,20,29,19,28,19,27,19,26,19,26,18,25,18,25,19,24,19,23,19,22,19,21,19,21,20,20,20,19,20,18,20,17,20,16,20,15,20,14,20,13,20,12,20,11,20,11,21,10,21,9,21,9,22,8,22,7,22,6,22,6,23,5,23,4,23,3,23,2,23,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,33,33,32,33,31,33,31,34,31,35,31,36,30,36,30,35,29,35,29,34,29,33,29,32,29,31,28,31,27,31,27,30,27,29,27,28,26,28,25,28,24,28,23,28,22,28,21,28,20,28,19,28,18,28,17,28,16,28,16,27,15,27,15,26,14,26,14,25,13,25,12,25,11,25,10,25,9,25,8,25,7,25,6,25,5,25,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,33,31,32,31,31,31,30,31,29,31,28,31,27,31,27,30,27,29,27,28,26,28,25,28,24,28,24,27,24,26,24,25,24,24,23,24,23,23,22,23,21,23,21,22,21,21,21,20,20,20,19,20,18,20,17,20,17,19,17,18,17,17,17,16,17,15,17,14,16,14,16,15,15,15,14,15,13,15,12,15,12,16,11,16,10,16,10,17,10,18,9,18,8,18,8,19,8,20,7,20,7,21,7,22,6,22,5,22,5,23,4,23,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,32,32,31,32,30,32,29,32,28,32,27,32,27,33,27,34,26,34,25,34,24,34,24,35,23,35,22,35,21,35,20,35,19,35,19,36,18,36,18,37,17,37,16,37,15,37,15,38,14,38,13,38,12,38,11,38,11,39,10,39,9,39,9,38,9,37,9,36,9,35,9,34,9,33,8,33,8,32,8,31,8,30,7,30,6,30,6,29,5,29,5,28,5,27,5,26,4,26,4,25,4,24,3,24,2,24,1,24,0,24
39,32,39,32,38,32,38,31,37,31,36,31,35,31,34,31,33,31,32,31,31,31,30,31,30,30,29,30,28,30,27,30,26,30,26,29,26,28,25,28,25,27,25,26,25,25,25,24,25,23,24,23,23,23,23,22,23,21,22,21,21,21,21,20,21,19,20,19,20,18,20,17,19,17,19,16,19,15,19,14,18,14,18,13,18,12,18,13,18,14,18,15,17,15,17,16,16,16,16,17,16,18,15,18,14,18,14,19,14,20,14,21,13,21,12,21,11,21,11,22,10,22,9,22,9,23,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,35,33,34,33,33,33,32,33,31,33,30,33,29,33,28,33,27,33,26,33,25,33,24,33,23,33,22,33,21,33,20,33,19,33,18,33,17,33,17,32,17,31,16,31,15,31,14,31,14,30,13,30,12,30,12,29,11,29,10,29,10,28,9,28,8,28,7,28,7,27,6,27,6,26,6,25,5,25,4,25,3,25,2,25,2,24,1,24,0,24
