y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,37,5,36,5,36,6,36,7,36,8,35,8,34,8,34,9,34,10,33,10,33,11,33,12,33,13,33,14,33,15,33,16,33,17,33,18,33,19,33,20,33,21,33,22,33,23,33,24,33,25,33,26,33,27,33,28,33,29,33,30,33,31,33,32,33,33,32,33,31,33,30,33,30,34,30,35,30,36,29,36,29,37,28,37,27,37,26,37,25,37,24,37,23,37,22,37,21,37,20,37,19,37,18,37,17,37,16,37,15,37,14,37,13,37,12,37,11,37,10,37,9,37,8,37,7,37,6,37,5,37,4,37,3,37,3,36,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,35,5,34,5,33,5,32,5,31,5,30,5,29,5,28,5,28,6,28,7,28,8,28,9,28,10,27,10,27,11,26,11,26,12,25,12,25,13,24,13,23,13,23,14,23,15,23,16,23,17,23,18,23,19,23,20,22,20,22,21,22,22,21,22,20,22,19,22,19,23,18,23,17,23,17,24,17,25,16,25,16,26,16,27,15,27,14,27,13,27,12,27,11,27,10,27,10,28,9,28,9,29,9,30,8,30,7,30,7,31,7,32,7,33,7,34,6,34,6,35,5,35,5,36,4,36,3,36,2,36,1,36,0,36
39,4,39,4,39,4,39,4,38,4,38,5,38,6,38,7,38,8,38,9,38,10,37,10,37,11,36,11,36,12,36,13,36,14,35,14,35,15,35,16,35,17,35,18,35,19,35,20,34,20,34,21,34,22,34,23,33,23,33,24,32,24,32,25,31,25,31,26,31,27,31,28,31,29,30,29,30,30,30,31,30,32,29,32,29,33,29,34,28,34,28,35,28,36,28,37,28,38,28,39,27,39,26,39,26,38,25,38,24,38,23,38,22,38,22,37,21,37,20,37,19,37,18,37,17,37,16,37,15,37,14,37,13,37,12,37,11,37,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,34,5,33,5,32,5,32,6,32,7,31,7,31,8,31,9,31,10,30,10,29,10,29,11,29,12,29,13,28,13,27,13,27,14,26,14,25,14,25,15,25,16,25,17,24,17,23,17,23,18,23,19,23,20,23,21,23,22,23,23,23,24,23,25,22,25,21,25,20,25,19,25,18,25,18,26,17,26,17,27,16,27,15,27,14,27,14,28,13,28,12,28,12,29,11,29,10,29,10,30,9,30,8,30,7,30,6,30,6,31,6,32,5,32,5,33,4,33,4,34,4,35,3,35,2,35,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,30,4,29,4,29,5,28,5,27,5,26,5,25,5,24,5,24,6,23,6,23,7,22,7,21,7,20,7,20,8,20,9,19,9,18,9,18,10,18,11,17,11,16,11,15,11,14,11,13,11,12,11,11,11,10,11,9,11,9,12,9,13,8,13,7,13,7,14,7,15,6,15,6,16,6,17,6,18,6,19,6,20,6,21,6,22,6,23,6,24,5,24,5,25,5,26,5,27,4,27,4,28,4,29,4,30,4,31,3,31,3,32,2,32,2,33,2,34,1,34,1,35,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,38,5,37,5,36,5,35,5,34,5,33,5,32,5,32,6,31,6,31,7,31,8,31,9,31,10,31,11,31,12,30,12,30,13,30,14,29,14,28,14,28,15,28,16,27,16,26,16,25,16,25,17,25,18,25,19,24,19,24,20,24,21,23,21,23,22,23,23,22,23,21,23,21,24,21,25,21,26,21,27,21,28,20,28,20,29,20,30,20,31,20,32,19,32,18,32,18,33,18,34,17,34,17,35,16,35,15,35,15,36,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,37,5,36,5,36,6,35,6,35,7,35,8,35,9,35,10,34,10,33,10,32,10,32,11,31,11,31,12,30,12,30,13,29,13,28,13,28,14,27,14,27,15,27,16,26,16,26,17,25,17,24,17,23,17,23,18,23,19,22,19,21,19,21,20,20,20,20,21,20,22,19,22,18,22,18,23,18,24,17,24,16,24,16,25,16,26,16,27,16,28,15,28,15,29,15,30,14,30,13,30,13,31,13,32,13,33,12,33,11,33,10,33,10,34,10,35,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,36,5,35,5,34,5,33,5,33,6,32,6,31,6,31,7,31,8,30,8,29,8,29,9,28,9,28,10,27,10,26,10,26,11,25,11,24,11,23,11,23,12,22,12,22,13,21,13,21,14,20,14,19,14,18,14,18,15,18,16,17,16,16,16,15,16,14,16,13,16,13,17,12,17,12,18,12,19,12,20,12,21,12,22,12,23,12,24,12,25,12,26,12,27,11,27,10,27,10,28,10,29,9,29,9,30,8,30,7,30,6,30,5,30,5,31,5,32,5,33,5,34,4,34,4,35,3,35,3,36,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,36,5,36,6,36,7,36,8,35,8,35,9,35,10,35,11,35,12,34,12,34,13,33,13,32,13,31,13,30,13,30,14,30,15,30,16,30,17,30,18,30,19,30,20,30,21,30,22,30,23,29,23,29,24,29,25,29,26,29,27,28,27,28,28,28,29,28,30,28,31,28,32,28,33,28,34,28,35,28,36,28,37,27,37,27,36,26,36,25,36,24,36,23,36,22,36,21,36,20,36,19,36,18,36,17,36,16,36,15,36,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,37,5,37,6,37,7,37,8,37,9,37,10,36,10,36,11,36,12,36,13,36,14,35,14,35,15,34,15,34,16,33,16,32,16,32,17,32,18,32,19,32,20,32,21,32,22,32,23,32,24,32,25,32,26,31,26,31,27,31,28,31,29,31,30,31,31,31,32,31,33,31,34,30,34,30,35,29,35,28,35,27,35,26,35,25,35,24,35,23,35,23,36,22,36,21,36,20,36,19,36,18,36,17,36,16,36,15,36,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
