y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51
39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,24,6,23,6,22,6,21,6,20,6,19,6,18,6,17,6,16,6,15,6,14,6,13,6,12,6,11,6,11,5,11,4,10,4,9,4,9,3,9,2,8,2,8,1,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,24,6,23,6,22,6,21,6,20,6,19,6,18,6,17,6,16,6,15,6,14,6,13,6,12,6,11,6,10,6,9,6,9,5,8,5,8,4,8,3,7,3,7,2,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,29,5,28,5,27,5,26,5,25,5,24,5,23,5,22,5,21,5,20,5,20,4,19,4,18,4,17,4,17,3,16,3,15,3,14,3,13,3,13,2,12,2,12,1,11,1,10,1,9,1,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,31,5,30,5,29,5,28,5,27,5,26,5,25,5,25,4,24,4,23,4,22,4,22,3,21,3,21,2,21,1,20,1,20,0,19,0,18,0,17,0,16,0,15,0,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,35,5,34,5,33,5,32,5,31,5,30,5,29,5,29,4,28,4,27,4,26,4,25,4,24,4,23,4,22,4,21,4,21,3,20,3,20,2,19,2,18,2,17,2,16,2,15,2,14,2,13,2,12,2,11,2,10,2,10,1,9,1,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,24,6,23,6,22,6,21,6,20,6,19,6,18,6,17,6,17,7,16,7,15,7,14,7,13,7,13,6,13,5,12,5,11,5,10,5,9,5,8,5,8,4,7,4,6,4,5,4,5,3,5,2,5,1,4,1,3,1,2,1,1,1,1,0,0,0
39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,29,5,28,5,27,5,26,5,25,5,25,4,24,4,23,4,22,4,21,4,20,4,19,4,18,4,17,4,16,4,15,4,15,3,14,3,13,3,13,2,12,2,11,2,10,2,10,1,9,1,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,32,5,32,4,31,4,30,4,29,4,28,4,28,3,28,2,28,1,27,1,27,0,26,0,25,0,24,0,23,0,22,0,21,0,20,0,19,0,18,0,17,0,16,0,15,0,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,31,5,30,5,29,5,28,5,27,5,26,5,25,5,24,5,23,5,22,5,21,5,20,5,20,4,19,4,18,4,18,3,17,3,16,3,15,3,14,3,13,3,12,3,11,3,10,3,9,3,9,2,8,2,7,2,6,2,5,2,5,1,4,1,3,1,3,0,2,0,1,0,0,0
39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,37,5,37,4,36,4,35,4,35,3,34,3,33,3,32,3,31,3,30,3,29,3,28,3,28,2,27,2,27,1,27,0,26,0,25,0,24,0,23,0,22,0,21,0,20,0,19,0,18,0,17,0,16,0,15,0,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
