y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,32,16,31,16,30,16,29,16,28,16,27,16,26,16,25,16,24,16,24,15,24,14,23,14,23,13,22,13,22,12,21,12,20,12,19,12,19,11,18,11,17,11,16,11,15,11,14,11,13,11,13,10,13,9,12,9,11,9,11,8,11,7,10,7,9,7,9,6,8,6,7,6,6,6,6,5,5,5,4,5,4,4,3,4,2,4,1,4,0,4
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,38,17,38,18,37,18,37,19,36,19,35,19,35,20,34,20,33,20,33,21,33,22,32,22,31,22,31,23,30,23,29,23,28,23,27,23,27,22,26,22,25,22,25,21,24,21,24,20,23,20,23,19,23,18,22,18,21,18,20,18,20,17,19,17,19,16,19,15,19,14,19,13,19,12,18,12,17,12,17,11,17,10,17,9,16,9,15,9,14,9,13,9,12,9,11,9,11,8,10,8,10,7,10,6,10,5,9,5,8,5,7,5,7,4,6,4,5,4,4,4,3,4,2,4,1,4,0,4
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,33,15,32,15,31,15,31,14,31,13,30,13,29,13,28,13,28,12,27,12,27,11,26,11,25,11,25,10,25,9,24,9,24,8,24,7,24,6,23,6,23,5,22,5,21,5,20,5,19,5,18,5,17,5,16,5,15,5,14,5,13,5,12,5,11,5,10,5,9,5,8,5,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,4,0,4
39,16,39,16,39,16,38,16,37,16,37,17,36,17,35,17,35,18,34,18,34,19,33,19,33,20,32,20,31,20,30,20,29,20,28,20,28,21,28,22,27,22,27,23,27,24,27,25,26,25,26,26,26,27,26,28,25,28,24,28,24,29,23,29,23,28,22,28,22,27,22,26,22,25,21,25,20,25,20,24,20,23,19,23,19,22,19,21,18,21,18,20,18,19,18,18,18,17,18,16,18,15,17,15,17,14,17,13,17,12,16,12,16,11,16,10,15,10,15,9,15,8,15,7,14,7,13,7,13,6,13,5,12,5,11,5,10,5,9,5,8,5,7,5,6,5,5,5,5,4,4,4,3,4,2,4,1,4,0,4
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,37,15,36,15,35,15,34,15,34,14,33,14,32,14,32,13,31,13,31,12,30,12,29,12,29,11,29,10,28,10,28,9,28,8,28,7,27,7,27,6,27,5,27,4,27,3,26,3,25,3,24,3,24,2,23,2,22,2,22,1,21,1,21,0,20,0,19,0,18,0,17,0,16,0,15,0,14,0,13,0,13,1,12,1,11,1,10,1,10,2,9,2,8,2,7,2,7,3,6,3,5,3,4,3,4,4,3,4,2,4,1,4,0,4
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,35,15,34,15,33,15,32,15,31,15,30,15,29,15,28,15,28,14,27,14,26,14,25,14,24,14,24,13,23,13,22,13,22,12,21,12,21,11,20,11,20,10,19,10,19,9,19,8,19,7,19,6,18,6,17,6,16,6,15,6,15,5,14,5,14,4,13,4,12,4,11,4,10,4,9,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,4,0,4
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,32,16,31,16,30,16,29,16,28,16,27,16,26,16,25,16,24,16,23,16,22,16,21,16,20,16,20,17,19,17,18,17,17,17,16,17,15,17,14,17,14,18,13,18,13,19,12,19,12,20,12,21,11,21,11,20,11,19,10,19,10,18,9,18,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,7,10,7,9,7,8,7,7,7,6,6,6,5,6,4,6,3,6,2,6,1,6,1,5,1,4,0,4
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,32,16,31,16,30,16,29,16,28,16,27,16,26,16,25,16,25,15,24,15,23,15,22,15,22,14,21,14,21,13,20,13,19,13,19,12,19,11,18,11,17,11,16,11,16,10,15,10,15,9,14,9,14,8,14,7,13,7,12,7,12,6,11,6,10,6,10,5,9,5,9,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,4,0,4
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,38,15,38,14,37,14,36,14,35,14,34,14,34,13,33,13,33,12,33,11,32,11,31,11,31,10,31,9,30,9,29,9,29,8,28,8,28,7,27,7,26,7,25,7,25,6,24,6,23,6,23,5,22,5,21,5,20,5,20,4,20,3,20,2,19,2,18,2,18,1,17,1,17,0,16,0,16,1,15,1,14,1,13,1,12,1,11,1,11,2,10,2,9,2,8,2,7,2,6,2,5,2,4,2,4,3,3,3,2,3,1,3,1,4,0,4
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,32,16,31,16,30,16,29,16,28,16,27,16,26,16,25,16,24,16,24,15,23,15,22,15,21,15,20,15,19,15,18,15,17,15,16,15,15,15,15,14,14,14,14,13,14,12,13,12,12,12,12,11,12,10,12,9,11,9,11,8,11,7,11,6,10,6,9,6,8,6,7,6,6,6,5,6,4,6,3,6,3,5,3,4,2,4,1,4,0,4
