y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,38,7,38,8,37,8,37,9,36,9,36,10,35,10,34,10,33,10,32,10,32,11,32,12,31,12,30,12,29,12,28,12,27,12,26,12,26,11,26,10,25,10,24,10,23,10,22,10,22,9,21,9,20,9,19,9,18,9,17,9,17,8,16,8,16,7,15,7,14,7,13,7,12,7,11,7,10,7,9,7,8,7,8,6,8,5,7,5,6,5,5,5,4,5,4,4,3,4,2,4,1,4,0,4
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,33,7,32,7,31,7,30,7,29,7,28,7,27,7,27,8,26,8,25,8,24,8,23,8,23,9,22,9,21,9,20,9,19,9,18,9,17,9,17,10,17,11,17,12,16,12,15,12,14,12,13,12,12,12,12,13,11,13,10,13,10,14,10,13,9,13,8,13,7,13,7,12,7,11,7,10,6,10,5,10,5,9,4,9,4,8,4,7,3,7,3,6,3,5,3,4,2,4,1,4,0,4
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,36,7,36,8,35,8,35,9,34,9,34,10,34,11,34,12,33,12,32,12,32,13,32,14,31,14,31,15,31,14,30,14,30,13,29,13,28,13,27,13,26,13,26,12,25,12,25,11,24,11,23,11,22,11,21,11,20,11,19,11,18,11,18,10,17,10,16,10,15,10,15,9,14,9,14,8,13,8,13,7,12,7,11,7,10,7,9,7,9,6,8,6,8,5,7,5,6,5,5,5,5,4,4,4,3,4,2,4,1,4,0,4
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,32,7,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,23,8,23,9,22,9,21,9,20,9,19,9,19,10,18,10,17,10,16,10,15,10,15,11,15,10,15,9,15,8,15,7,14,7,14,6,13,6,12,6,11,6,11,5,11,4,10,4,9,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,4,0,4
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,35,7,34,7,33,7,32,7,32,8,31,8,30,8,30,9,29,9,29,10,29,11,28,11,27,11,27,10,26,10,26,9,26,8,25,8,24,8,24,7,23,7,22,7,22,6,22,5,21,5,20,5,19,5,18,5,17,5,16,5,15,5,14,5,13,5,12,5,11,5,10,5,9,5,8,5,7,5,7,4,6,4,5,4,4,4,3,4,2,4,1,4,0,4
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,27,7,26,7,25,7,25,8,24,8,24,9,23,9,23,10,22,10,21,10,20,10,19,10,18,10,17,10,16,10,15,10,14,10,13,10,12,10,12,9,12,8,11,8,11,7,10,7,9,7,9,6,9,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,5,1,4,0,4
39,6,39,6,39,6,39,6,39,6,39,6,38,6,38,7,37,7,36,7,35,7,34,7,34,8,34,9,33,9,33,10,33,11,32,11,32,12,31,12,31,13,31,14,31,15,30,15,30,16,30,17,29,17,28,17,28,16,27,16,26,16,26,15,25,15,25,14,24,14,24,13,23,13,23,12,22,12,21,12,20,12,19,12,18,12,18,11,17,11,17,10,16,10,15,10,14,10,13,10,12,10,11,10,10,10,10,9,9,9,9,8,9,7,9,6,8,6,8,5,7,5,6,5,5,5,4,5,3,5,3,4,2,4,1,4,0,4
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,31,7,30,7,29,7,28,7,27,7,26,7,25,7,24,7,23,7,23,8,22,8,21,8,20,8,20,9,19,9,18,9,17,9,17,10,16,10,16,11,16,10,15,10,15,9,15,8,15,7,15,6,15,5,14,5,13,5,12,5,12,4,11,4,10,4,9,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,4,0,4
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,37,5,36,5,35,5,34,5,33,5,32,5,31,5,30,5,29,5,28,5,27,5,26,5,26,4,25,4,25,3,24,3,23,3,22,3,21,3,20,3,19,3,18,3,18,4,17,4,16,4,15,4,14,4,13,4,12,4,11,4,10,4,9,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,4,0,4
39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,31,7,30,7,29,7,28,7,27,7,26,7,26,8,25,8,24,8,24,9,23,9,22,9,21,9,20,9,19,9,18,9,18,10,17,10,17,11,16,11,16,12,16,13,16,14,15,14,15,15,15,16,14,16,13,16,12,16,12,17,12,18,11,18,10,18,9,18,8,18,8,17,8,16,7,16,7,15,7,14,7,13,7,12,6,12,6,11,6,10,5,10,4,10,4,9,4,8,3,8,3,7,3,6,3,5,2,5,1,5,1,4,0,4
